Nome,Latitude,Longitude,Altitude,Informação extra,Lote
A-4 - Saída 70,39.889473,-3.471761,717,,1300
A-4 - Saída 72,39.866124,-3.477438,719,,1300
A-4 - Saída 79,39.813472,-3.479678,606,,1300
A-4 - Saída 81,39.804662,-3.478860,616,,1300
A-4 - Saída 83,39.779375,-3.479758,693,,1300
A-4 - Saída 85,39.764176,-3.480949,693,,1300
A-4 - Saída 92,39.699847,-3.498660,636,,1300
A-4 - Saída 93,39.691997,-3.497338,639,,1300
A-4 - Saída 94,39.683539,-3.504717,650,,1300
A-4 - Saída 98,39.650539,-3.515144,706,,1300
A-4 - Saída 106,39.572869,-3.514496,700,,1300
A-4 - Saída 112,39.519769,-3.523454,699,,1300
A-4 - Saída 115,39.498578,-3.527572,697,,1300
A-4 - Saída 118,39.478633,-3.523142,695,,1300
A-4 - Saída 119,39.463425,-3.517862,680,,1300
A-4 - Saída 134,39.335242,-3.483467,685,,1300
A-4 - Saída 135,39.330627,-3.478257,680,,1300
A-4 - Saída 136,39.318457,-3.471761,666,,1300
A-4 - Saída 137,39.310068,-3.469664,664,,1300
A-4 - Saída 140,39.288055,-3.455686,652,,1300
A-4 - Saída 142,39.274571,-3.447006,642,,1300
A-4 - Saída 144,39.251904,-3.432489,620,,1300
A-4 - Saída 147,39.235485,-3.411639,630,,1300
A-4 - Saída 149,39.220958,-3.413695,638,,1300
A-4 - Saída 153,39.182615,-3.398913,644,,1300
A-4 - Saída 155,39.167168,-3.393078,645,,1300
A-4 - Saída 159,39.129307,-3.378893,644,,1300
A-4 - Saída 160,39.122775,-3.377767,645,,1300
A-4 - Saída 161,39.108481,-3.377224,647,,1300
A-4 - Saída 167,39.058690,-3.375177,650,,1300
A-4 - Saída 172,39.014401,-3.374281,658,,1300
A-4 - Saída 174,39.004367,-3.384607,659,,1300
A-4 - Saída 175,38.984021,-3.381658,660,,1300
A-4 - Saída 178,38.963846,-3.383401,675,,1300
A-4 - Saída 179,38.952608,-3.384743,671,,1300
A-4 - Saída 180,38.937065,-3.386562,673,,1300
A-4 - Saída 184,38.909092,-3.389717,677,,1300
A-4 - Saída 186,38.885586,-3.392282,675,,1300
A-4 - Saída 191,38.842965,-3.394480,686,,1300
A-4 - Saída 193,38.823992,-3.395480,692,,1300
A-4 - Saída 197,38.789019,-3.392365,716,,1300
A-4 - Saída 199,38.777459,-3.398549,702,,1300
A-4 - Saída 200,38.767458,-3.406807,696,,1300
A-4 - Saída 201,38.759316,-3.413436,692,,1300
A-4 - Saída 202,38.748979,-3.420319,689,,1300
A-4 - Saída 205,38.724873,-3.417295,695,,1300
A-4 - Saída 208,38.704063,-3.422973,702,,1300
A-4 - Saída 210,38.686752,-3.436255,711,,1300
A-4 - Saída 213,38.657764,-3.460536,728,,1300
A-4 - Saída 216,38.645727,-3.479763,715,,1300
A-4 - Saída 217,38.630387,-3.465824,730,,1300
A-4 - Saída 220,38.608721,-3.465501,775,,1300
A-4 - Saída 223,38.580313,-3.483025,795,,1300
A-4 - Saída 227,38.551854,-3.490914,771,,1300
A-4 - Saída 230,38.521647,-3.491413,784,,1300
A-4 - Saída 231,38.512335,-3.493274,810,,1300
A-4 - Saída 232,38.506446,-3.498286,803,,1300
A-4 - Saída 234,38.496225,-3.503557,774,,1300
A-4 - Saída 238,38.458410,-3.499729,731,,1300
A-4 - Saída 241,38.432656,-3.496904,689,,1100
A-4 - Saída 243,38.414844,-3.498596,665,,1000
A-4 - Saída 250-252,38.371207,-3.517313,582,Parque Natural de Despeñaperros,1000
A-4 - Saída 257,38.343898,-3.542373,760,,1000
A-4 - Saída 258,38.338255,-3.544867,744,,1000
A-4 - Saída 259,38.329136,-3.545854,725,,1000
A-4 - Saída 262,38.314536,-3.567557,730,,1000
A-4 - Saída 264,38.299142,-3.582163,646,,1000
A-4 - Saída 265,38.292113,-3.589702,615,,1000
A-4 - Saída 266,38.281642,-3.593970,602,,1000
A-4 - Saída 268,38.269920,-3.608071,577,,1000
A-4 - Saída 269,38.267103,-3.611648,585,,1000
A-4 - Saída 270,38.262419,-3.623095,554,,1000
A-4 - Saída 274,38.235760,-3.629628,410,,1000
A-4 - Saída 275,38.225262,-3.632509,391,,1000
A-4 - Saída 280,38.195984,-3.671729,345,,1000
A-4 - Saída 283,38.180602,-3.694757,351,,1000
A-4 - Saída 285,38.168198,-3.707895,341,,1000
A-4 - Saída 286,38.158419,-3.715161,343,,1000
A-4 - Saída 288,38.143352,-3.726511,357,,1000
A-4 - Saída 299,38.095329,-3.805331,351,,1000
A-4 - Saída 301,38.087086,-3.826403,291,,1000
A-4 - Saída 303,38.073661,-3.853829,254,,1000
A-4 - Saída 310,38.048930,-3.908197,259,,1000
A-4 - Saída 312,38.046175,-3.939489,244,,1000
A-4 - Saída 316,38.044484,-3.975709,236,,1000
A-4 - Saída 317,38.043975,-3.986253,225,,1000
A-4 - Saída 318,38.041962,-4.000335,223,,1000
A-4 - Saída 319,38.039388,-4.017490,218,,1000
A-4 - Saída 321,38.038881,-4.031790,217,,1000
A-4 - Saída 323,38.030491,-4.053669,201,,1000
A-4 - Saída 324,38.030962,-4.064752,201,,1000
A-4 - Saída 325,38.029551,-4.070549,200,,1000
A-4 - Saída 326,38.030759,-4.079461,198,,1000
A-4 - Saída 329,38.037031,-4.112853,206,,1000
A-4 - Saída 335,38.027547,-4.164606,190,,900
A-4 - Saída 339,38.008093,-4.192632,180,,900
A-4 - Saída 346,37.990536,-4.257486,186,,900
A-4 - Saída 348,37.986947,-4.281075,164,,900
A-4 - Saída 350,37.986100,-4.300491,164,,900
A-4 - Saída 356,38.002588,-4.345223,197,,900
A-4 - Saída 358,38.010142,-4.368738,203,,900
A-4 - Saída 359,38.009298,-4.380766,202,,900
A-4 - Saída 361,38.006765,-4.400751,210,,900
A-4 - Saída 364,37.996116,-4.431315,163,,900
A-4 - Saída 367,37.971530,-4.455989,169,,900
A-4 - Saída 370,37.955429,-4.465175,134,,900
A-4 - Saída 374,37.952519,-4.513522,135,,900
A-4 - Saída 377,37.946003,-4.546560,139,,900
A-4 - Saída 383,37.919053,-4.587644,122,,900
A-4 - Saída 385,37.907368,-4.605751,133,,900
A-4 - Saída 391,37.897891,-4.666783,135,,900
A-4 - Saída 396,37.888707,-4.716926,102,,900
A-4 - Saída 400,37.877403,-4.758277,99,,900
A-4 - Saída 401,37.872797,-4.761617,94,,900
A-4 - Saída 403,37.860191,-4.771662,110,,900
A-4 - Saída 404,37.852204,-4.782135,112,,900
A-4 - Saída 406,37.846067,-4.790452,106,,800
A-4 - Saída 411,37.810088,-4.802048,117,,800
A-4 - Saída 412,37.801876,-4.806985,127,,800
A-4 - Saída 414,37.784902,-4.815910,156,,800
A-4 - Saída 418,37.761853,-4.823043,290,,700
A-4 - Saída 420,37.748601,-4.845293,271,,700
A-4 - Saída 424,37.715056,-4.870250,259,,700
A-4 - Saída 430,37.697143,-4.918608,215,,700
A-4 - Saída 432,37.679271,-4.930778,177,,700
A-4 - Saída 434,37.658095,-4.952086,201,,700
A-4 - Saída 437,37.636783,-4.956750,210,,700
A-4 - Saída 441,37.605435,-4.969919,220,,700
A-4 - Saída 444,37.586264,-4.987983,218,,700
A-4 - Saída 445,37.575386,-5.001392,214,,700
A-4 - Saída 450,37.549456,-5.042388,180,,700
A-4 - Saída 455,37.530429,-5.088481,127,,700
A-4 - Saída 457,37.526044,-5.109272,185,,700
A-4 - Saída 459,37.524154,-5.131975,199,,700
A-4 - Saída 461,37.522120,-5.155688,190,,700
A-4 - Saída 464,37.522898,-5.194756,181,,700
A-4 - Saída 468,37.525575,-5.235336,169,,700
A-4 - Saída 471,37.525275,-5.260008,159,,700
A-4 - Saída 475,37.522436,-5.309299,165,,700
A-4 - Saída 480,37.510116,-5.356336,166,,700
A-4 - Saída 482,37.506404,-5.377152,164,,700
A-4 - Saída 484,37.509284,-5.409135,162,,600
A-4 - Saída 487,37.506815,-5.436088,151,,600
A-4 - Saída 491,37.493032,-5.480944,164,,600
A-4 - Saída 494,37.486946,-5.512768,158,,600
A-4 - Saída 498,37.482391,-5.551475,81,,600
A-4 - Saída 500,37.480849,-5.571291,61,,600
A-4 - Saída 504,37.481979,-5.616456,86,,600
A-4 - Saída 506,37.488678,-5.641044,173,,600
A-4 - Saída 508,37.481654,-5.656318,167,,600
A-4 - Saída 511,37.472324,-5.684795,138,,600
A-4 - Saída 514,37.468529,-5.714066,116,,600
A-4 - Saída 516,37.461172,-5.735900,103,,600
A-4 - Saída 519,37.452309,-5.763328,86,,600
A-4 - Saída 521,37.446551,-5.780811,86,,600
A-4 - Saída 523,37.435568,-5.808407,65,,600
A-4 - Saída 524,37.430892,-5.820612,52,,600
A-4 - Saída 528,37.430136,-5.862299,32,,600
A-4 - Saída 530,37.434662,-5.880047,31,,400
A-4 - Saída 532,37.42622,-5.900927,25,,400
A-4 - Saída 533,37.421688,-5.910486,23,,400
A-4 - Saída 536,37.409374,-5.943179,18,,400
A-4 - Saída 553,37.270712,-5.973847,20,,300
A-4 - Saída 558,37.251677,-5.922562,43,,400
A-4 - Saída 628,36.755154,-6.074909,38,,800
A-4 - Saída 631,36.732508,-6.090168,37,,800
A-5 - Aluche,40.396343,-3.768372,663,,1400
A-5 - Avenida de los Poblados,40.393830,-3.771641,668,,1400
A-5 - Calle de Allande,40.388303,-3.778862,671,,1400
A-5 - Carretera de Boadilla del Monte,40.399403,-3.764392,656,,1400
A-5 - Cuatro Vientos,40.381678,-3.787693,688,,1400
A-5 - El Batán,40.405121,-3.751685,628,,1400
A-5 - Museo del Aire,40.368618,-3.804494,699,,1400
A-5 - Quinta Asturias,40.298444,-3.942993,565,,1300
A-5 - Saída 3,40.409520,-3.741309,636,,1400
A-5 - Saída 5A,40.401962,-3.760197,651,,1400
A-5 - Saída 11,40.363983,-3.810524,691,,1400
A-5 - Saída 12,40.355368,-3.821725,692,,1400
A-5 - Saída 12A,40.361245,-3.813841,682,,1400
A-5 - Saída 12B,40.359372,-3.816547,682,,1400
A-5 - Saída 13,40.354707,-3.829414,698,,1400
A-5 - Saída 14,40.353572,-3.841015,691,,1400
A-5 - Saída 18,40.339673,-3.873847,665,,1300
A-5 - Saída 19,40.331614,-3.888253,632,,1300
A-5 - Saída 21,40.316480,-3.897524,652,,1300
A-5 - Saída 22,40.305377,-3.906605,666,,1300
A-5 - Saída 23,40.302635,-3.925614,613,,1300
A-5 - Saída 24,40.299652,-3.934307,593,,1300
A-5 - Saída 25,40.298781,-3.937514,588,,1300
A-5 - Saída 27,40.296616,-3.964806,613,,1300
A-5 - Saída 28,40.294552,-3.973855,622,,1300
A-5 - Saída 28B,40.292883,-3.981003,623,,1300
A-5 - Saída 29A,40.291615,-3.986108,636,,1300
A-5 - Saída 29B,40.29037,-3.991022,641,,1300
A-5 - Saída 31,40.280422,-4.009279,647,,1100
A-5 - Saída 32,40.279278,-4.021794,654,,1100
A-5 - Saída 36,40.247335,-4.055727,666,,1100
A-5 - Saída 40,40.226942,-4.072286,654,,1100
A-5 - Saída 43,40.206918,-4.101534,647,,1100
A-5 - Saída 47,40.185181,-4.131833,651,,1100
A-5 - Saída 49,40.177328,-4.147234,641,,1100
A-5 - Saída 52,40.159625,-4.171415,631,,1100
A-5 - Saída 58,40.126137,-4.224093,616,,1100
A-5 - Saída 61,40.117514,-4.265287,582,,1100
A-5 - Saída 66,40.114435,-4.313355,560,,1100
A-5 - Saída 69,40.098136,-4.336664,541,,1100
A-5 - Saída 72,40.073103,-4.362511,505,,1100
A-5 - Saída 74,40.065368,-4.367106,482,,1100
A-5 - Saída 79,40.03692,-4.414369,505,,1100
A-5 - Saída 83,40.025218,-4.460164,462,,1100
A-5 - Saída 85,40.021880,-4.483322,451,,1100
A-5 - Saída 86,40.021211,-4.504668,446,,1100
A-5 - Saída 88,40.020008,-4.519727,439,,1100
A-5 - Saída 90,40.015974,-4.554166,466,,1100
A-5 - Saída 91,40.016007,-4.556537,467,,1100
A-5 - Saída 92,40.014955,-4.571233,466,,1100
A-5 - Saída 96,40.011685,-4.615029,450,,1100
A-5 - Saída 101,39.996024,-4.670723,434,,1100
A-5 - Saída 106,39.981871,-4.728421,380,,1100
A-5 - Saída 111,40.012563,-4.779772,410,,1100
A-5 - Saída 115,40.006725,-4.820454,414,,1100
A-5 - Saída 118,39.984211,-4.848202,407,,1100
A-5 - Saída 123,39.960547,-4.904783,391,,1100
A-5 - Saída 124,39.958053,-4.915921,402,,1100
A-5 - Saída 126,39.950647,-4.937443,402,,1100
A-5 - Saída 128,39.943522,-4.95231,403,,1100
A-5 - Saída 130,39.936597,-4.980141,402,,1100
A-5 - Saída 135,39.921532,-5.039117,414,,1100
A-5 - Saída 142,39.925801,-5.116265,357,,1100
A-5 - Saída 145,39.93045,-5.13996,370,,1100
A-5 - Saída 146,39.928493,-5.167659,358,,1100
A-5 - Saída 148,39.925254,-5.182658,350,,1100
A-5 - Saída 152,39.909239,-5.214533,360,,1100
A-5 - Saída 154,39.902643,-5.244972,351,,1100
A-5 - Saída 157,39.900868,-5.277588,352,,1100
A-5 - Saída 163,39.894862,-5.345353,321,,1100
A-5 - Saída 171,39.890626,-5.4297,304,,1100
A-5 - Saída 174,39.889394,-5.466118,299,,1100
A-5 - Saída 178,39.889207,-5.511937,298,,1100
A-5 - Saída 182,39.875061,-5.54951,399,,1100
A-5 - Saída 184,39.872034,-5.571895,346,,1100
A-5 - Saída 186,39.865104,-5.600794,297,,1100
A-5 - Saída 190,39.850757,-5.62779,282,,1100
A-5 - Saída 192,39.835029,-5.651079,265,,1100
A-5 - Saída 193,39.830299,-5.656543,266,,1100
A-5 - Saída 197,39.808644,-5.669402,295,,1100
A-5 - Saída 200,39.790206,-5.699612,316,,1100
A-5 - Saída 207,39.760393,-5.732849,329,,1100
A-5 - Saída 210,39.731447,-5.719533,417,,1100
A-5 - Saída 219,39.68705,-5.717229,572,,1100
A-5 - Saída 227,39.659607,-5.793176,467,,1100
A-5 - Saída 232,39.629555,-5.820932,475,,1100
A-5 - Saída 240,39.567127,-5.833829,465,,1100
A-5 - Saída 250,39.483788,-5.849131,510,,1100
A-5 - Saída 253,39.457529,-5.863241,518,,1100
A-5 - Saída 259,39.412014,-5.887994,439,,1100
A-5 - Saída 268,39.337683,-5.856734,466,,1100
A-5 - Saída 269,39.325032,-5.858177,487,,1100
A-5 - Saída 272,39.303232,-5.856888,412,,1100
A-5 - Saída 275,39.271781,-5.856639,378,,1100
A-5 - Saída 277,39.258791,-5.863394,381,,1100
A-5 - Saída 281,39.225767,-5.883584,357,,1100
A-5 - Saída 287,39.175154,-5.898275,362,,1100
A-5 - Saída 298,39.116861,-5.974408,276,,1000
A-5 - Saída 300,39.102859,-6.000339,268,,1000
A-5 - Saída 304,39.077379,-6.032025,263,,1000
A-5 - Saída 310,39.036109,-6.06749,255,,1000
A-5 - Saída 316,38.991439,-6.103279,239,,1000
A-5 - Saída 318,38.98986,-6.121438,242,,1000
A-5 - Saída 325,38.945597,-6.184011,273,,1000
A-5 - Saída 331,38.953104,-6.241477,267,,1000
A-5 - Saída 333,38.947914,-6.281962,251,,1000
A-5 - Saída 341,38.937440,-6.363955,244,,1000
A-5 - Saída 342,38.921952,-6.371603,223,,800
A-5 - Saída 346,38.906865,-6.389598,220,,800
A-5 - Saída 352,38.876745,-6.458187,202,,800
A-5 - Saída 354,38.874123,-6.476484,203,,1000
A-5 - Saída 360,38.861350,-6.545259,196,,1000
A-5 - Saída 365,38.854902,-6.607703,190,,1000
A-5 - Saída 367,38.843326,-6.620401,237,,1000
A-5 - Saída 372,38.848002,-6.681217,193,,1000
A-5 - Saída 374,38.850891,-6.690803,192,,1000
A-5 - Saída 376,38.850628,-6.713108,204,,1000
