Nome,Latitude,Longitude,Altitude,Informação extra,Lote
A-7 - Saída 475,36.899279,-2.213112,142,,1900
A-7 - Saída 479,36.936961,-2.206521,227,,1900
A-7 - Saída 481,36.949902,-2.184020,211,,1900
A-7 - Saída 487,36.955199,-2.126944,183,,1900
A-7 - Saída 494,36.994128,-2.06574,225,,1900
A-7 - Saída 504,37.0674,-2.054434,326,,1900
A-7 - Saída 510,37.106976,-2.03201,207,,1900
A-7 - Saída 513,37.126942,-2.013363,194,,1900
A-7 - Saída 514,37.13708,-2.003525,187,,1900
A-7 - Saída 516,37.146588,-1.986316,195,,1900
A-7 - Saída 520,37.156687,-1.951761,147,,1900
A-7 - Saída 525,37.191667,-1.916307,110,,1900
A-7 - Saída 529,37.215121,-1.896092,87,,1900
A-7 - Saída 537,37.282286,-1.924977,160,,1900
A-7 - Saída 543,37.316359,-1.963685,224,,1900
A-7 - Saída 547,37.352169,-1.970788,199,,1900
A-7 - Saída 549,37.371371,-1.961543,292,,1900
A-7 - Saída 553,37.407556,-1.958436,317,,1900
A-7 - Saída 559,37.437807,-1.907979,359,,1900
A-7 - Saída 563,37.465369,-1.883382,429,,1900
A-7 - Saída 565,37.480500,-1.869639,434,,1900
A-7 - Saída 655,37.538442,-1.815370,471,,1900
A-7 - Saída 661,37.491180,-1.852587,454,,1900
A-7/AP-7 - Saída 155,36.433242,-5.161364,35,,900
A-7/AP-7 - Saída 182,36.514207,-4.915104,64,,900
A-7/AP-7 - Saída 184,36.519054,-4.890873,68,,900
A-7/AP-7 - Saída 185,36.520772,-4.880525,75,,900
A-7/AP-7 - Saída 217,36.587012,-4.595799,216,,900
A-7/AP-7 - Saída 222,36.607189,-4.543143,211,,900
A-32 - Saída 1,38.097273,-3.719601,290,,1200
A-40 - Saída 94,40.027738,-4.342093,517,,1100
A-42 - Calle de Antonio López,40.392612,-3.706911,580,,1800
A-42 - Paseo de Santa María de la Cabeza,40.389630,-3.712666,589,,1800
A-42 - Saída 4,40.385242,-3.717538,602,,1800
A-42 - Saída 5,40.373775,-3.719712,602,,1800
A-44 - Saída 12,38.023893,-3.778280,271,,1200
A-44 - Saída 17,37.991395,-3.795869,251,,1400
A-44 - Saída 18,37.976903,-3.791937,261,,1400
A-44 - Saída 26,37.909170,-3.784869,302,,1400
A-44 - Saída 40-42,37.780863,-3.752226,390,,1400
A-44 - Saída 46,37.754315,-3.699439,528,,1400
A-44 - Saída 50,37.725002,-3.679320,495,,1400
A-44 - Saída 59,37.675642,-3.624543,586,,1400
A-44 - Saída 64,37.642329,-3.606949,655,,1400
A-44 - Saída 67,37.609955,-3.602433,728,,1400
A-44 - Saída 74,37.557645,-3.625980,889,,1400
A-44 - Saída 77,37.532213,-3.636078,1046,,1400
A-44 - Saída 79,37.502098,-3.628823,950,,1400
A-44 - Saída 84,37.486557,-3.603322,949,,1400
A-44 - Saída 89,37.469690,-3.570792,1007,,1400
A-44 - Saída 97,37.406088,-3.564995,875,,1400
A-44 - Saída 103,37.365284,-3.605534,783,,1400
A-44 - Saída 108,37.324451,-3.634489,688,,1400
A-44 - Saída 111,37.305011,-3.657636,664,,1400
A-44 - Saída 144,37.047446,-3.652872,831,,1500
A-44 - Saída 153,36.988522,-3.604675,739,,1500
A-44 - Saída 157,36.972599,-3.560741,824,,1500
A-44 - Saída 160,36.952602,-3.545475,751,,1500
A-44 - Saída 164,36.922832,-3.533155,546,,1500
A-44 - Saída 167,36.902599,-3.523214,479,,1500
A-44 - Saída 175,36.849498,-3.493757,327,,1500
A-44 - Saída 181,36.805098,-3.510721,346,,1500
A-45 - Saída 5,37.778342,-4.749820,146,,800
A-45 - Saída 16,37.690844,-4.743691,231,,1200
A-45 - Saída 27,37.61236,-4.695437,350,,1200
A-45 - Saída 36,37.537804,-4.6498,263,,1200
A-45 - Saída 40,37.516489,-4.628787,351,,1200
A-45 - Saída 49,37.458796,-4.571689,362,,1200
A-45 - Saída 51,37.440226,-4.551616,433,,1200
A-45 - Saída 62,37.358806,-4.490708,522,,1200
A-45 - Saída 72,37.283242,-4.48806,452,,1200
A-45 - Saída 76,37.263724,-4.522778,396,,1200
A-45 - Saída 79,37.236896,-4.540625,384,,1200
A-45 - Saída 82,37.212328,-4.534579,472,,1200
A-45 - Saída 86,37.166677,-4.55312,472,,1200
A-45 - Saída 92,37.111684,-4.564322,434,,700
A-45 - Saída 102,37.045055,-4.510485,478,,700
A-45 - Saída 107,37.011465,-4.491233,713,,1100
A-45 - Saída 115,36.960006,-4.446812,738,,1100
A-45 - Saída 123,36.902867,-4.441386,503,,1100
A-45 - Saída 124,36.896705,-4.426573,494,,1200
A-45 - Saída 127,36.879173,-4.427136,451,,1200
A-45 - Saída 134,36.825012,-4.444919,263,,1200
A-45 - Saída 136,36.811238,-4.441154,191,,1200
A-45 - Saída 140,36.77417,-4.425619,128,,1200
A-49 - Saída 1,37.389749,-6.032198,11,,200
A-49 - Saída 1B,37.380821,-6.03951,64,,200
A-49 - Saída 2,37.382185,-6.046634,95,,200
A-49 - Saída 3,37.383528,-6.061439,117,,200
A-49 - Saída 5,37.375756,-6.081259,107,,200
A-49 - Saída 11,37.359894,-6.141831,106,,300
A-49 - Saída 14,37.35705,-6.170968,117,,300
A-49 - Saída 16,37.361177,-6.200042,119,,300
A-49 - Saída 23,37.361314,-6.272721,42,,300
A-49 - Saída 28,37.359343,-6.324953,73,,300
A-49 - Saída 34,37.353366,-6.390037,121,,300
A-49 - Saída 48,37.358017,-6.540221,155,,300
A-49 - Saída 53,37.352425,-6.599305,135,,300
A-49 - Saída 60,37.342624,-6.676494,58,,300
A-49 - Saída 75,37.323655,-6.842263,15,,300
A-49 - Saída 81,37.322471,-6.908251,14,,300
A-49 - Saída 87,37.356547,-6.957409,18,,200
A-49 - Saída 94,37.335614,-7.022817,33,,300
A-49 - Saída 99,37.323243,-7.072187,63,,300
A-49 - Saída 105,37.333403,-7.155361,54,,200
A-49 - Saída 113,37.297213,-7.218757,39,,300
A-49 - Saída 117,37.275938,-7.250109,48,,200
A-49 - Saída 122,37.260188,-7.305056,52,,200
A-49 - Saída 125,37.250704,-7.337204,41,,100
A-49 - Saída 129,37.239183,-7.378359,10,,100
A-49 - Saída 131,37.238819,-7.404641,8,,100
A-58 - Fim,39.472422,-6.328004,395,,1800
A-58 - Saída 4,39.492596,-5.883472,488,,1800
A-58 - Saída 9,39.457239,-5.921956,409,,1800
A-58 - Saída 15,39.442617,-5.990805,437,,1800
A-58 - Saída 21,39.441199,-6.057735,328,,1800
A-58 - Saída 35,39.448733,-6.208804,392,,1800
A-58 - Saída 42,39.463847,-6.2859,392,,1800
A-66 - Saída 424,40.348006,-5.845952,871,,1800
A-66 - Saída 427,40.324434,-5.862898,824,,1800
A-66 - Saída 436,40.264029,-5.915877,541,,1800
A-66 - Saída 442,40.236836,-5.971422,430,,1800
A-66 - Saída 446,40.209863,-5.992408,400,,1800
A-66 - Saída 449,40.189063,-6.007391,396,,1800
A-66 - Saída 455,40.142203,-6.04079,412,,1800
A-66 - Saída 463,40.082623,-6.082098,371,,1800
A-66 - Saída 471,40.035179,-6.122368,413,,1800
A-66 - Saída 485,39.943685,-6.198428,329,,1800
A-66 - Saída 488,39.922091,-6.236878,358,,1800
A-66 - Saída 494,39.881626,-6.276781,344,,1800
A-66 - Saída 498,39.861254,-6.309168,386,,1800
A-66 - Saída 503,39.838472,-6.356255,449,,1800
A-66 - Saída 505,39.815045,-6.362385,449,,1800
A-66 - Saída 508,39.798509,-6.367788,384,,1800
A-66 - Saída 523,39.697996,-6.40193,342,,1800
A-66 - Saída 528,39.652862,-6.393602,366,,1800
A-66 - Saída 539,39.55632,-6.401009,360,,1800
A-66 - Saída 542,39.535598,-6.409674,368,,1800
A-66 - Saída 545,39.516068,-6.42503,405,,1800
A-66 - Saída 551,39.461745,-6.421332,404,,1800
A-66 - Saída 555,39.431159,-6.405693,393,,1800
A-66 - Saída 564,39.388801,-6.35046,399,,1800
A-66 - Saída 576,39.289362,-6.330298,383,,1800
A-66 - Saída 582,39.231169,-6.302123,389,,1800
A-66 - Saída 590,39.165116,-6.27038,485,,1800
A-66 - Saída 592,39.142534,-6.273804,426,,1800
A-66 - Saída 606,39.039030,-6.338233,276,,1800
A-66 - Saída 613,38.977201,-6.334319,281,,1100
A-66 - Saída 626,38.900282,-6.369834,250,,800
A-66 - Saída 627,38.892127,-6.367393,251,,800
A-66 - Saída 630,38.862001,-6.363615,263,,800
A-66 - Saída 636,38.814307,-6.374413,290,,800
A-66 - Saída 641,38.773907,-6.380367,315,,800
A-66 - Saída 648,38.711603,-6.395990,335,,800
A-66 - Saída 650,38.691686,-6.382825,346,,800
A-66 - Saída 652,38.679841,-6.377953,361,,800
A-66 - Saída 654,38.662772,-6.379635,377,,800
A-66 - Saída 657,38.628808,-6.369381,368,,800
A-66 - Saída 659,38.613359,-6.365118,387,,800
A-66 - Saída 662,38.591976,-6.366840,397,,800
A-66 - Saída 666,38.551338,-6.363776,446,,800
A-66 - Saída 670,38.519508,-6.350430,458,,800
A-66 - Saída 675,38.472277,-6.360724,539,,800
A-66 - Saída 677,38.461982,-6.355521,556,,800
A-66 - Saída 682,38.419035,-6.345004,557,,800
A-66 - Saída 684,38.396748,-6.340492,555,,800
A-66 - Saída 687,38.373766,-6.333024,529,,800
A-66 - Saída 694,38.314447,-6.304011,521,,800
A-66 - Saída 700,38.262616,-6.297138,601,,800
A-66 - Saída 704,38.230648,-6.295160,575,,800
A-66 - Saída 715,38.135592,-6.274779,667,,800
A-66 - Saída 719,38.108638,-6.271339,720,,800
A-66 - Saída 722,38.084485,-6.260634,725,,800
A-66 - Saída 730,38.029922,-6.222301,534,,800
A-66 - Saída 741,37.948905,-6.229725,482,Parque Natural Sierra de Aracena y Picos de Aroche,600
A-66 - Saída 745,37.919514,-6.224624,504,Parque Natural Sierra de Aracena y Picos de Aroche,600
A-66 - Saída 747,37.903577,-6.213554,487,Parque Natural Sierra de Aracena y Picos de Aroche,600
A-66 - Saída 765,37.767531,-6.167602,406,,600
A-66 - Saída 768,37.738962,-6.173710,355,,600
A-66 - Saída 771,37.716447,-6.170044,361,,600
A-66 - Saída 782,37.628095,-6.145105,295,,500
A-66 - Saída 790,37.573227,-6.107458,159,,400
A-66 - Saída 795,37.534068,-6.093038,69,,300
A-66 - Saída 798,37.511061,-6.071201,49,,300
A-66 - Saída 805,37.456867,-6.044449,12,,300
A-66 - Saída 808,37.430924,-6.031791,7,,200
A-92 - Andalucía Residencial,37.386032,-5.929249,18,,600
A-92 - Saída 5,37.377893,-5.892741,31,,600
A-92 - Saída 7,37.356552,-5.865473,43,,600
A-92 - Saída 9,37.354184,-5.852507,82,,600
A-92 - Saída 12,37.344730,-5.822126,92,,600
A-92 - Saída 14,37.328010,-5.816753,59,,600
A-92 - Saída 15,37.327547,-5.805130,81,,600
A-92 - Saída 23,37.303969,-5.723706,50,,600
A-92 - Saída 27,37.283053,-5.680281,60,,600
A-92 - Saída 37,37.255644,-5.572011,80,,600
A-92 - Saída 38,37.254934,-5.564381,84,,700
A-92 - Saída 40,37.250141,-5.551363,86,,700
A-92 - Saída 41,37.257580,-5.537408,96,,700
A-92 - Saída 43,37.262549,-5.529363,99,,700
A-92 - Saída 46,37.274037,-5.489814,124,,700
A-92 - Saída 49,37.275136,-5.446988,135,,700
A-92 - Saída 63,37.230366,-5.323084,159,,700
A-92 - Saída 65,37.231751,-5.301976,159,,700
A-92 - Saída 80,37.236021,-5.129851,220,,700
A-92 - Saída 82,37.228460,-5.112946,242,,700
A-92 - Saída 84,37.229065,-5.092464,275,,700
A-92 - Saída 84A,37.231867,-5.088109,289,,700
A-92 - Saída 85,37.235150,-5.081359,301,,700
A-92 - Saída 92,37.249381,-5.011187,252,,700
A-92 - Saída 95,37.257898,-4.983649,293,,700
A-92 - Saída 97,37.264794,-4.958983,334,,700
A-92 - Saída 103,37.293452,-4.903854,481,,700
A-92 - Saída 105,37.302625,-4.879068,453,,700
A-92 - Saída 106,37.301276,-4.867249,435,,700
A-92 - Saída 109,37.286265,-4.858751,480,,700
A-92 - Saída 112,37.274391,-4.823066,428,,700
A-92 - Saída 113,37.274490,-4.801172,392,,700
A-92 - Saída 120,37.223627,-4.784656,401,,700
A-92 - Saída 123,37.196312,-4.795175,415,,700
A-92 - Saída 125,37.183981,-4.779108,477,,700
A-92 - Saída 132,37.138668,-4.725445,435,,700
A-92 - Saída 138,37.118419,-4.668130,467,,700
A-92 - Saída 142,37.096205,-4.632651,413,,700
A-92 - Saída 146,37.070760,-4.598734,415,,700
A-92 - Saída 149,37.071889,-4.565445,427,,700
A-92 - Saída 160,37.082860,-4.451033,489,,700
A-92 - Saída 163,37.092282,-4.412296,538,,800
A-92 - Saída 167,37.113754,-4.391776,648,,800
A-92 - Saída 175,37.127886,-4.304584,761,,800
A-92 - Saída 178,37.139310,-4.276436,744,,800
A-92 - Saída 180,37.146496,-4.250050,717,,1100
A-92 - Saída 183,37.151391,-4.226182,598,,1200
A-92 - Saída 185,37.157589,-4.207885,498,,1200
A-92 - Saída 187,37.162899,-4.186697,568,,1200
A-92 - Saída 188,37.166565,-4.178813,567,,1200
A-92 - Saída 193,37.162568,-4.121614,490,,1200
A-92 - Saída 197,37.169079,-4.085742,487,,1200
A-92 - Saída 200,37.180576,-4.057023,484,,1200
A-92 - Saída 203,37.190304,-4.026896,502,,1200
A-92 - Saída 206,37.192944,-3.996991,513,,1200
A-92 - Saída 211,37.183374,-3.953886,570,,1200
A-92 - Saída 213,37.180816,-3.928958,592,,1200
A-92 - Saída 215,37.179024,-3.901389,577,,1200
A-92 - Saída 218,37.194580,-3.868243,538,,1200
A-92 - Saída 220,37.194283,-3.854178,545,,1200
A-92 - Saída 221,37.192017,-3.838024,548,,1200
A-92 - Saída 225,37.194472,-3.803270,554,,1200
A-92 - Saída 227,37.190840,-3.778127,560,,1200
A-92 - Saída 229,37.191335,-3.748804,568,,1200
A-92 - Saída 236,37.223078,-3.705704,582,,1200
A-92 - Saída 237,37.229851,-3.690646,640,,1200
A-92 - Saída 239,37.232213,-3.667900,631,,1200
A-92 - Saída 245,37.239259,-3.610007,765,,1200
A-92 - Saída 249,37.231764,-3.568424,926,,1800
A-92 - Saída 250,37.227179,-3.560613,998,,1800
A-92 - Saída 253,37.226801,-3.530928,1117,Parque Natural de Sierra de Huétor,1800
A-92 - Saída 256,37.234363,-3.498725,1127,,1800
A-92 - Saída 259,37.254702,-3.482487,1283,Parque Natural de Sierra de Huétor,1800
A-92 - Saída 264,37.292344,-3.453156,1343,Parque Natural de Sierra de Huétor,1800
A-92 - Saída 269,37.311808,-3.407789,1183,Parque Natural de Sierra de Huétor,1800
A-92 - Saída 276,37.315846,-3.334739,1201,,1800
A-92 - Saída 278,37.320584,-3.317507,1163,,1800
A-92 - Saída 282,37.321784,-3.268787,1072,,1800
A-92 - Saída 286,37.330753,-3.222187,855,,1800
A-92 - Saída 288,37.325416,-3.201998,851,,1800
A-92 - Saída 292,37.321384,-3.162121,885,,1800
A-92 - Saída 293,37.319713,-3.149127,872,,1800
A-92 - Saída 294,37.319289,-3.138932,891,,1800
A-92 - Saída 303,37.262205,-3.085156,1071,,1800
A-92 - Saída 307,37.233519,-3.082324,1090,,1900
A-92 - Saída 312,37.206619,-3.046542,1127,,1900
A-92 - Saída 318,37.194263,-2.986124,1143,,1900
A-92 - Saída 321,37.187923,-2.958341,1167,,1900
A-92 - Saída 326,37.168578,-2.906604,1138,,1900
A-92 - Saída 330,37.168444,-2.870422,1013,,1900
A-92 - Saída 333,37.158522,-2.836221,938,,1900
A-92 - Saída 336,37.147748,-2.796941,851,,1900
A-92 - Saída 341,37.146558,-2.752362,767,,1900
A-92 - Saída 345,37.141337,-2.710235,714,,1900
A-92 - Saída 352,37.123611,-2.629712,776,,1900
A-92 - Saída 354,37.119515,-2.609702,753,,1900
A-92 - Saída 356,37.117651,-2.591431,757,,1900
A-92 - Saída 358,37.117447,-2.567421,755,,1900
A-92 - Saída 360,37.1166,-2.55214,730,,1900
A-92 - Saída 362,37.110456,-2.529708,735,Paraje Natural Desierto de Tabernas,1900
A-92 - Saída 364,37.093007,-2.525888,750,Paraje Natural Desierto de Tabernas,1900
A-92 - Saída 368,37.065844,-2.489899,535,Paraje Natural Desierto de Tabernas,1900
A-92 - Saída 376,37.018845,-2.444505,270,Paraje Natural Desierto de Tabernas,1900
A-92 - Saída 382,36.960871,-2.465981,163,,1900
A-92 - Saída 387,36.926885,-2.438241,141,,1900
A-92 - Sevilha Este,37.386028,-5.922456,24,,600
A-92 - Torreblanca,37.385406,-5.914155,24,,600
A-92M - Saída 1,37.118235,-4.296804,762,,800
A-92M - Saída 7,37.068445,-4.327665,732,,1200
A-92M - Saída 11,37.054095,-4.360512,748,,1200
A-92M - Saída 16,37.021064,-4.389568,669,,1200
A-92M - Saída 20,36.986582,-4.400895,669,,1200
A-92N - Saída 3,37.337808,-3.093740,1082,,1800
A-376 - Centro Comercial,37.357193,-5.951810,13,,600
A-376 - Condequinto,37.347900,-5.937805,29,,600
A-376 - Fim da auto-estrada,37.198008,-5.796940,51,,600
A-376 - Montequinto,37.344585,-5.932902,32,,600
A-376 - Saída 4A,37.342232,-5.929522,39,,600
A-376 - Saída 4B,37.335382,-5.919569,54,,600
A-376 - Saída 8,37.307909,-5.887933,71,,600
A-376 - Saída 11/13,37.283298,-5.868607,69,,600
A-376 - Saída 16,37.245929,-5.839528,72,,600
A-376 - Saída 21,37.214831,-5.809944,56,,600
A-376 - Universidade Pablo de Olavide,37.352907,-5.943207,17,,600
A-381 - Saída 1,36.646900,-6.081397,9,,900
A-381 - Saída 4,36.618360,-6.066756,29,,900
A-381 - Saída 10,36.569307,-6.021928,89,,900
A-381 - Saída 17,36.524785,-5.984015,107,,900
A-381 - Saída 24,36.491003,-5.927320,67,,900
A-381 - Saída 31,36.469163,-5.853992,67,,900
A-381 - Saída 36,36.471663,-5.805327,110,,900
A-381 - Saída 40,36.455783,-5.763380,97,,900
A-381 - Saída 42,36.448035,-5.747357,51,,900
A-381 - Saída 45,36.439220,-5.720709,60,Parque Natural de Los Alcornocales,900
A-381 - Saída 54,36.384664,-5.653308,49,Parque Natural de Los Alcornocales,900
A-381 - Saída 66,36.299680,-5.594149,145,Parque Natural de Los Alcornocales,900
A-381 - Saída 70,36.263158,-5.583691,90,Parque Natural de Los Alcornocales,900
A-381 - Saída 73,36.236674,-5.580734,114,Parque Natural de Los Alcornocales,900
A-381 - Saída 77,36.214175,-5.545234,32,Parque Natural de Los Alcornocales,900
A-381 - Saída 80,36.200423,-5.516315,16,,900
A-381 - Saída 85,36.172555,-5.481236,18,,900
A-381 - Saída 87,36.174789,-5.466803,4,,900
A-483 - Saída 1,37.339139,-6.555623,117,,300
A-483 - Saída 3,37.324762,-6.541574,89,,300
A-483 - Saída 8,37.292399,-6.527049,77,,1900
A-483 - Saída 11,37.265469,-6.531214,54,,1900
A-483 - Saída 13,37.247382,-6.516988,54,,1900
A-497 - Fim,37.187891,-6.978752,7,,2000
A-497 - Início,37.266976,-6.957742,5,,1900
A-497 - Saída 3,37.270897,-6.988913,5,,1900
A-497 - Saída 5,37.262278,-7.008127,6,,2000
A-497 - Saída 7,37.247256,-7.018302,14,,2000
A-497 - Saída 9,37.225673,-7.023241,5,,2000
A-497 - Saída 10,37.218356,-7.022946,7,,2000
A-497 - Saída 15,37.19441,-6.978843,5,,2000
A-8009 - Saída 2,37.453924,-5.970215,9,,600
A-8009 - Saída 4,37.467424,-5.967462,8,,600
A-8009 - Saída 5,37.480877,-5.966883,9,,600
A-8057 - Saída 0A,37.362863,-6.037469,37,,600
A-8057 - Saída 2,37.357206,-6.049056,78,,600
A-8058 - Saída 0,37.365542,-6.032121,23,,300
Achada do Gamo,37.654760,-7.507547,125,,500
Adega da Herdade da Comporta,38.379530,-8.790003,1,,1500
Aeródromo de Portimão,37.147621,-8.580169,2,,500
Aeroporto de Almería,36.847553,-2.372585,18,,1900
Aeroporto de Badajoz,38.894054,-6.818687,180,,1000
Aeroporto de Beja,38.063206,-7.939608,188,,100
Aeroporto de Córdoba,37.844473,-4.843614,90,,800
Aeroporto de Faro,37.021647,-7.967967,6,,200
Aeroporto de Gibraltar,36.153987,-5.346462,4,,1200
Aeroporto de Jerez,36.750464,-6.064958,25,,900
Aeroporto de Lisboa - Terminal 1,38.770451,-9.129680,97,,1600
Aeroporto de Lisboa - Terminal 2,38.763883,-9.136831,100,,1600
Aeroporto de Madrid-Barajas - Terminal 1,40.464054,-3.570048,600,,1900
Aeroporto de Madrid-Barajas - Terminal 2,40.468172,-3.569377,600,,1900
Aeroporto de Madrid-Barajas - Terminal 3,40.472124,-3.570989,600,,1900
Aeroporto de Madrid-Barajas - Terminal 4,40.491458,-3.590943,615,,1500
Aeroporto de Madrid-Barajas - Terminal 4S,40.494427,-3.567495,595,,1900
Aeroporto de Málaga - Costa del Sol,36.676401,-4.491684,9,,1200
Aeroporto de Sevilha,37.423697,-5.899924,31,,200
Aeroporto Federico García Lorca Granada-Jaén,37.185033,-3.777586,568,,1200
Afonso Vicente,37.493201,-7.541276,168,,400
Águas de Moura,38.583505,-8.689135,14,,800
AL-12 - Saída 7,36.849653,-2.380107,24,,1900
"Álamo, Alcoutim",37.386987,-7.444663,28,,10
"Álamo, Mértola",37.581075,-7.685135,163,Parque Natural do Vale do Guadiana,40
Albernoa,37.860334,-7.958729,134,,700
Albufeira - Centro histórico,37.089685,-8.249905,30,,400
Albufeira - Rua da Oura,37.091326,-8.22766,40,,400
Alcácer do Sal,38.372084,-8.511099,30,,800
Alcantarilha,37.129966,-8.346888,20,,400
Alcaria,37.334335,-7.467049,109,,50
Alcaria dos Javazes,37.517812,-7.639286,218,,600
Alcarias Grandes,37.281621,-7.526595,102,,300
Alcoutim,37.469974,-7.472777,23,,10
Alferce,37.333179,-8.489565,330,,500
Algar de Benagil,37.087171,-8.423721,0,,500
Algarve Shopping,37.127444, -8.280092,89,,400
Algoz,37.163782,-8.304491,42,,400
Aljezur,37.316641,-8.801102,38,Parque Natural do Sudoeste Alentejano e Costa Vicentina,500
Aljustrel,37.876989,-8.164725,176,,800
Almada de Ouro,37.311138,-7.449001,21,,50
Almancil,37.08726,-8.031629,56,,400
Almodôvar,37.512121,-8.059819,288,,600
Almonte,37.262323,-6.517895,75,,1900
Alta Mora,37.306042,-7.592194,219,,100
Alte,37.235968,-8.175928,200,,400
Altura,37.176902,-7.499652,11,,100
Alves,37.605107,-7.564871,156,Parque Natural do Vale do Guadiana,600
Alvito,38.257039,-7.991934,229,,800
Alvor,37.130155,-8.593241,18,,500
Amareleja,38.208057,-7.226053,201,,800
Ameixal,37.364243,-7.963277,418,,400
Antiga Estação de Aljaraque,37.322834,-7.057116,47,,1500
Antiga Estação de Isla Cristina - Pozo del Camino,37.221285,-7.322543,4,,200
AP-4 - Início,37.242204,-5.910401,53,,600
AP-4 - Saída 23-24,37.163431,-5.908798,9,,800
AP-4 - Saída 44-45,36.979134,-5.951837,17,,800
AP-4 - Saída 53,36.907668,-5.969706,29,,800
AP-4A - Saída 13,37.261139,-5.920742,48,,600
AP-7 - Saída 142,36.377577,-5.263915,135,,900
AP-7 - Saída 172,36.499568,-5.006086,61,,900
AP-7 - Saída 200,36.505418,-4.716355,113,,900
AP-7 - Saída 213,36.566292,-4.629587,44,,900
AP-7 - Saída 226,36.637387,-4.509438,77,,1200
AP-36 - Saída 3,39.938273,-3.436418,733,,1400
AP-41 - Saída 2,40.256585,-3.886414,646,,1200
AP-41 - Saída 8,40.213667,-3.891086,640,,1200
AP-41 - Saída 16,40.155917,-3.907333,656,,1200
Aqualand Algarve,37.135708,-8.365288,60,,400
Aquashow,37.093921,-8.072404,47,,400
Aquopolis Cartaya,37.259265,-7.130161,25,,1800
Arahal,37.260348,-5.544021,120,,700
"Arco de la Victoria, Madrid",40.435875,-3.720207,651,,2000
Área de Repouso de Castro Marim,37.236479,-7.437882,15,,100
Área de Serviço de Abrantes,39.485528,-8.156857,70,,2000
Área de Serviço de Alcácer do Sal,38.515557,-8.585400,82,,800
Área de Serviço de Aljustrel,37.923720,-8.242707,99,,700
Área de Serviço de Almodôvar,37.536129,-8.183866,263,,600
Área de Serviço de Altos de Marbella,36.518514,-4.830436,59,,900
Área de Serviço de Antuã-Estarreja,40.755260,-8.535935,65,,1600
Área de Serviço de Arroyo de la Miel,36.612777,-4.527835,148,,900
Área de Serviço de Aveiras,39.123257,-8.907457,76,,1600
Área de Serviço de Cortijo de Robledo,36.917477,-4.439805,557,,1100
Área de Serviço de El Cuadrejón,36.781382,-6.043598,47,,800
Área de Serviço de El Fantasma,37.001929,-5.938830,58,,800
Área de Serviço de Estremoz,38.800045,-7.660434,244,,1000
Área de Serviço de Gaia,41.101204,-8.598477,136,,1700
Área de Serviço de Grândola,38.167349,-8.491615,88,,700
Área de Serviço de Lagos,37.148775,-8.703188,36,,500
Área de Serviço de Leiria,39.712823,-8.710521,159,,1600
Área de Serviço de Los Palacios,37.195820,-5.910552,21,,700
Área de Serviço de Loulé,37.13666,-8.110515,79,,400
Área de Serviço de Manilva,36.332645,-5.266563,152,,900
Área de Serviço de Mealhada-Cantanhede,40.333017,-8.493169,105,,1600
Área de Serviço de Montemor-o-Novo,38.617671,-8.079619,297,,1000
Área de Serviço de Montijo,38.726397,-8.670269,79,,1500
Área de Serviço de Oeiras,38.714190,-9.285304,82,,1000
Área de Serviço de Olhão,37.125327,-7.770864,114,,200
Área de Serviço de Palmela,38.585227,-8.930490,64,,1000
Área de Serviço de Polvoranca,40.337014,-3.802135,679,,1200
Área de Serviço de Pombal,40.013412,-8.600130,60,,1600
Área de Serviço de Río Castor,36.464264,-5.115708,85,,900
Área de Serviço de Santarém,39.392521,-8.639074,88,,1600
Área de Serviço de Seixal,38.623056,-9.133344,21,,1000
Área de Serviço de Seseña,40.128144,-3.677999,639,,1400
Área de Serviço de Silves,37.151517,-8.427001,63,,400
Área de Serviço de Sintra,38.792561,-9.358412,203,,1400
Área de Serviço de Vendas Novas,38.621733,-8.578584,78,,800
Área de Serviço de Vila Velha de Ródão,39.573167,-7.782672,205,,2000
Armação de Pêra,37.103726,-8.358920,6,,400
Aroche,37.944264,-6.953652,405,,800
Autódromo Internacional do Algarve,37.231507,-8.628383,105,,500
"Avenida de América, Madrid",40.439060,-3.673304,699,,1600
Avenida de Andalucía x Avenida Pío XII,37.26223,-6.94281,28,,2100
"Avenida de Andalucía, Huelva",37.26872,-6.93386,30,,2100
"Avenida de Andalucía, Sevilha",37.387148,-5.954143,15,,1800
Avenida de Diego Morón x Avenida de Santa Marta,37.279830,-6.936456,42,,2100
"Avenida de España, La Línea de la Concepción",36.164777,-5.360756,4,,1200
Avenida de Guatemala x Avenida del Nuevo Colombino,37.25316,-6.93517,9,,2100
"Avenida de Jacinto Benavente, Málaga",36.750590,-4.424563,34,,1200
"Avenida de Kansas City, Sevilha",37.399896,-5.962515,12,,1400
Avenida de las Flores x Calle Doctor Juan Nicolás Márquez Domínguez,37.278681,-6.930025,33,,2100
"Avenida de Santa Marta, Huelva",37.272806,-6.936263,40,,2100
"Avenida Engenheiro Duarte Pacheco, Lisboa",38.723738,-9.163532,93,,1400
Ayamonte,37.215788,-7.405922,20,,50
Azinhal,37.284774,-7.464246,92,,100
Badoca Safari Park,38.041223,-8.744636,61,,1500
Balurco de Baixo,37.424817,-7.508199,213,,10
Balurco de Cima,37.429009,-7.524442,209,,20
Bar do Rio,37.397346,-7.446943,4,,20
Barão de São João,37.138801,-8.778051,74,,500
Barão de São Miguel,37.107253,-8.795208,30,,500
Barra do Guadiana,37.168914,-7.403016,2,,100
Barragem da Bravura,37.201997,-8.698414,85,,500
