Name,Parish,Concelho
A23 - Saída 16,Fratel,Vila Velha de Ródão
A23 - Saída 17,Fratel,Vila Velha de Ródão
A23 - Saída 18,Fratel,Vila Velha de Ródão
A23 - Saída 19,Vila Velha de Ródão,Vila Velha de Ródão
A23 - Saída 20,Retaxo,Castelo Branco
A23 - Saída 21,Benquerenças,Castelo Branco
A23 - Saída 22,Castelo Branco,Castelo Branco
A23 - Saída 23,Castelo Branco,Castelo Branco
A23 - Saída 24,Alcains,Castelo Branco
A23 - Saída 25,Lardosa,Castelo Branco
A23 - Saída 26,Castelo Novo,Fundão
A23 - Saída 27,Castelo Novo,Fundão
A23 - Saída 28,Donas,Fundão
A23 - Saída 29,Valverde,Fundão
A23 - Saída 30,Ferro,Covilhã
A23 - Saída 31,Ferro,Covilhã
A23 - Saída 32,Caria,Belmonte
A23 - Saída 33,Maçainhas,Belmonte
A23 - Saída 34,Benespera,Guarda
A23 - Saída 35,Guarda,Guarda
A24 - Saída 2,São Cipriano,Viseu
A25 - Início,Gafanha da Nazaré,Ílhavo
A25 - Saída 1,Gafanha da Encarnação,Ílhavo
A25 - Saída 1A,Gafanha da Nazaré,Ílhavo
A25 - Saída 2,Gafanha da Nazaré,Ílhavo
A25 - Saída 3,Glória,Aveiro
A25 - Saída 3A,Esgueira,Aveiro
A25 - Saída 4,Esgueira,Aveiro
A25 - Saída 5A,Esgueira,Aveiro
A25 - Saída 6,Fermelã,Estarreja
A25 - Saída 8,Albergaria-a-Velha,Albergaria-a-Velha
A25 - Saída 9,Macinhata do Vouga,Águeda
A25 - Saída 10,Talhadas,Sever do Vouga
A25 - Saída 11,Reigoso,Oliveira de Frades
A25 - Saída 12,Campia,Vouzela
A25 - Saída 13,Cambra,Vouzela
A25 - Saída 14,Paços de Vilharigues,Vouzela
A25 - Saída 15,Ventosa,Vouzela
A25 - Saída 16,Boaldeia,Viseu
A25 - Saída 16A,Boaldeia,Viseu
A25 - Saída 18,São João de Lourosa,Viseu
A25 - Saída 19,Rio de Loba,Viseu
A25 - Saída 20,Fragosela,Viseu
A25 - Saída 21,Fornos de Maceira Dão,Mangualde
A25 - Saída 22,Mangualde,Mangualde
A25 - Saída 23,Chãs de Tavares,Mangualde
A25 - Saída 24,Fornos de Algodres,Fornos de Algodres
A25 - Saída 25,São Pedro,Celorico da Beira
A25 - Saída 26,São Pedro,Celorico da Beira
A25 - Saída 27,Ratoeira,Celorico da Beira
A25 - Saída 28,Açores,Celorico da Beira
A25 - Saída 28A,Açores,Celorico da Beira
A25 - Saída 29,Arrifana,Guarda
A25 - Saída 31,Pínzio,Pinhel
A25 - Saída 32,Freixo,Almeida
A25 - Saída 33,Vilar Formoso,Almeida
A26 - Fim,Figueira dos Cavaleiros,Ferreira do Alentejo
A26 - Saída 2,Sines,Sines
A26 - Saída 3,Santiago do Cacém,Santiago do Cacém
A26 - Saída 4,Santiago do Cacém,Santiago do Cacém
A26-1 - Saída 1,Sines,Sines
A26-1 - Saída 2,Santo André,Santiago do Cacém
A26-1 - Saída 3,Santo André,Santiago do Cacém
A28 - Saída 3,Ramalde,Porto
A28 - Saída 5,Matosinhos,Matosinhos
A28 - Saída 6,Leça da Palmeira,Matosinhos
A28 - Saída 7,Leça da Palmeira,Matosinhos
A28 - Saída 8,Perafita,Matosinhos
A28 - Saída 9,Perafita,Matosinhos
A28 - Saída 10,Perafita,Matosinhos
A28 - Saída 12,Lavra,Matosinhos
Achada do Gamo,Santana de Cambas,Mértola
Adega da Herdade da Comporta,Comporta,Alcácer do Sal
Aeródromo de Portimão,Alvor,Portimão
Aeródromo de Tires,São Domingos de Rana,Cascais
Aeródromo de Viseu,Abraveses,Viseu
Aeroporto de Beja,São Brissos,Beja
Aeroporto de Faro,Montenegro,Faro
Aeroporto de Lisboa - Terminal 1,Santa Maria dos Olivais,Lisboa
Aeroporto de Lisboa - Terminal 2,Santa Maria dos Olivais,Lisboa
Afonso Vicente,Alcoutim,Alcoutim
Águas de Moura,Marateca,Palmela
"Álamo, Alcoutim",Alcoutim,Alcoutim
"Álamo, Mértola",Espírito Santo,Mértola
Albernoa,Albernoa,Beja
Albufeira - Centro histórico,Albufeira,Albufeira
Albufeira - Rua da Oura,Albufeira,Albufeira
Alcácer do Sal,Santa Maria do Castelo,Alcácer do Sal
Alcantarilha,Alcantarilha,Silves
Alcaria dos Javazes,Espírito Santo,Mértola
Alcaria,Odeleite,Castro Marim
Alcarias Grandes,Azinhal,Castro Marim
Alcoutim,Alcoutim,Alcoutim
Aldeia de Juso,Cascais,Cascais
Alferce,Alferce,Monchique
Algar de Benagil,Lagoa,Lagoa
Algarve Shopping,Guia,Albufeira
Algoz,Algoz,Silves
Aljezur,Aljezur,Aljezur
Aljustrel,Aljustrel,Aljustrel
Almada de Ouro,Azinhal,Castro Marim
Almancil,Almancil,Loulé
Almodôvar,Almodôvar,Almodôvar
Alta Mora,Odeleite,Castro Marim
Alte,Alte,Loulé
Altura,Altura,Castro Marim
