Name,Parish,Concelho
Estação de Barca da Amieira - Envendos,Envendos,Mação
Estação de Barcelos,Arcozelo,Barcelos
Estação de Barqueiros,Barqueiros,Mesão Frio
Estação de Barquinha,Vila Nova da Barquinha,Vila Nova da Barquinha
Estação de Barragem de Belver,Ortiga,Mação
Estação de Barreiro-A,Barreiro,Barreiro
Estação de Barrimau,Calendário,Vila Nova de Famalicão
Estação de Barroselas,Barroselas,Viana do Castelo
Estação de Belém,Santa Maria de Belém,Lisboa
Estação de Belmonte-Manteigas,Belmonte,Belmonte
Estação de Belver,Belver,Gavião
Estação de Bemposta,São Facundo,Abrantes
Estação de Bencanta,São Martinho do Bispo,Coimbra
Estação de Benespera,Benespera,Guarda
Estação de Benfica,Benfica,Lisboa
Estação de Benquerenças,Benquerenças,Castelo Branco
Estação de Bifurcação de Lares,Abrunheira,Montemor-o-Velho
Estação de Bobadela,Bobadela,Loures
Estação de Boliqueime,Boliqueime,Loulé
Estação de Bom João,Sé,Faro
Estação de Bombarral,Bombarral,Bombarral
Estação de Braço de Prata,Marvila,Lisboa
Estação de Braga,Maximinos,Braga
Estação de Branca,Branca,Albergaria-a-Velha
Estação de Bustelo,Bustelo,Penafiel
Estação de Cabanões,Travassô,Águeda
Estação de Cabeda,Alfena,Valongo
Estação de Cacela,Vila Nova de Cacela,Vila Real de Santo António
Estação de Cacia,Cacia,Aveiro
Estação de Caíde,Caíde de Rei,Lousada
Estação de Cais do Sodré,São Paulo,Lisboa
Estação de Caldas da Rainha,Santo Onofre,Caldas da Rainha
Estação de Caldas de Moledo,Fontelas,Peso da Régua
Estação de Caminha,Caminha (Matriz),Caminha
Estação de Campolide,Campolide,Lisboa
Estação de Canas-Felgueira,Canas de Senhorim,Nelas
Estação de Canelas,Canelas,Estarreja
Estação de Caniços,Bairro,Vila Nova de Famalicão
Estação de Carapeços,Carapeços,Barcelos
Estação de Carcavelos,Carcavelos,Cascais
Estação de Caria,Caria,Belmonte
Estação de Carrascal-Delongo,Paialvo,Tomar
Estação de Carreço,Carreço,Viana do Castelo
Estação de Carregal do Sal,Currelos,Carregal do Sal
Estação de Carreira,Carreira,Barcelos
Estação de Carvalha,Campos,Vila Nova de Cerveira
Estação de Carvalhal da Portela,Valongo do Vouga,Águeda
Estação de Carvalheira-Maceda,Maceda,Ovar
Estação de Carvalhos de Figueiredo,Madalena,Tomar
Estação de Casais,São Martinho do Bispo,Coimbra
Estação de Casal do Álvaro,Espinhel,Águeda
Estação de Cascais,Cascais,Cascais
Estação de Castanheira do Ribatejo,Castanheira do Ribatejo,Vila Franca de Xira
Estação de Castelejo,São João de Areias,Santa Comba Dão
Estação de Castelo Branco,Castelo Branco,Castelo Branco
Estação de Castelo Novo,Castelo Novo,Fundão
Estação de Castro Marim,Castro Marim,Castro Marim
Estação de Cavaco,Feira,Santa Maria da Feira
Estação de Caxarias,Caxarias,Ourém
Estação de Caxias,Caxias,Oeiras
Estação de Celorico da Beira,Forno Telheiro,Celorico da Beira
Estação de Cerdeira,Cerdeira,Sabugal
Estação de Cête,Cete,Paredes
Estação de Chança,Chancelaria,Alter do Chão
Estação de Chão de Maçãs-Fátima,Sabacheira,Tomar
Estação de Coimbra,São Bartolomeu,Coimbra
Estação de Coimbra-B,Eiras,Coimbra
Estação de Coimbrões,Canidelo,Vila Nova de Gaia
Estação de Coina,Aldeia de Paio Pires,Seixal
Estação de Corroios,Corroios,Seixal
Estação de Cortegaça,Cortegaça,Ovar
Estação de Couto de Cambeses,Cambeses,Barcelos
Estação de Couto de Cucujães,Vila de Cucujães,Oliveira de Azeméis
Estação de Covas,Urgezes,Guimarães
Estação de Covelinhas,Covelinhas,Peso da Régua
Estação de Covilhã,São Pedro,Covilhã
Estação de Crato,Crato e Mártires,Crato
Estação de Cruz Quebrada,Cruz Quebrada - Dafundo,Oeiras
Estação de Cuca,Moreira de Cónegos,Guimarães
Estação de Curia,Tamengos,Anadia
Estação de Curvaceiras,Madalena,Tomar
Estação de Dagorda - Peniche,Santa Maria,Óbidos
Estação de Darque,Darque,Viana do Castelo
Estação de Dois Portos,Dois Portos,Torres Vedras
Estação de Donas,Donas,Fundão
Estação de Durrães,Durrães,Barcelos
Estação de Eirol,Eirol,Aveiro
Estação de Eixo,Eixo,Aveiro
Estação de Elvas,Caia e São Pedro,Elvas
Estação de Entrecampos,Nossa Senhora de Fátima,Lisboa
Estação de Ermesinde,Ermesinde,Valongo
Estação de Ermida,Santa Marinha do Zêzere,Baião
Estação de Ermidas - Sado,Ermidas - Sado,Santiago do Cacém
Estação de Escapães,Escapães,Santa Maria da Feira
Estação de Esgueira,Esgueira,Aveiro
Estação de Esmeriz,Esmeriz,Vila Nova de Famalicão
Estação de Esmoriz,Esmoriz,Ovar
Estação de Espadanal da Azambuja,Vila Nova da Rainha,Azambuja
Estação de Espadaneira,São Martinho do Bispo,Coimbra
Estação de Espinho,Espinho,Espinho
Estação de Espinho-Vouga,Espinho,Espinho
Estação de Esqueiro,Lanhelas,Caminha
Estação de Estarreja,Beduído,Estarreja
Estação de Estômbar - Lagoa,Estômbar,Lagoa
Estação de Évora,Horta das Figueiras,Évora
Estação de Famalicão,Calendário,Vila Nova de Famalicão
Estação de Famalicão da Nazaré,Famalicão,Nazaré
Estação de Faria,Vila de Cucujães,Oliveira de Azeméis
Estação de Faro,São Pedro,Faro
Estação de Fatela - Penamacor,Enxames,Fundão
Estação de Feliteira,Dois Portos,Torres Vedras
Estação de Fernando Pó,Marateca,Palmela
Estação de Ferradosa,Vale da Figueira,São João da Pesqueira
Estação de Ferragudo,Parchal,Lagoa
Estação de Ferrão,Covas do Douro,Sabrosa
Estação de Ferreiros,Ferreiros,Braga
Estação de Figueira da Foz,São Julião,Figueira da Foz
Estação de Figueiredo,Pinheiro da Bemposta,Oliveira de Azeméis
Estação de Fogueteiro,Arrentela,Seixal
Estação de Fontela,Vila Verde,Figueira da Foz
Estação de Fontela-A,Vila Verde,Figueira da Foz
Estação de Formoselha,Santo Varão,Montemor-o-Velho
Estação de Fornos de Algodres,Fornos de Algodres,Fornos de Algodres
Estação de Foros de Amora,Amora,Seixal
Estação de Francelos,Gulpilhares,Vila Nova de Gaia
Estação de Fratel,Fratel,Vila Velha de Ródão
Estação de Freineda,Freineda,Almeida
Estação de Freixo de Numão - Mós do Douro,Mós,Vila Nova de Foz Côa
Estação de Funcheira,Garvão,Ourique
Estação de Fundão,Fundão,Fundão
Estação de Fungalvaz,Assentiz,Torres Novas
Estação de Fuseta-A,Fuseta,Olhão
Estação de Fuseta-Moncarapacho,Moncarapacho,Olhão
Estação de Gata,Casal de Cinza,Guarda
Estação de General Torres,Santa Marinha,Vila Nova de Gaia
Estação de Giesteira,Lordelo,Guimarães
Estação de Godim,Godim,Peso da Régua
Estação de Gondarém,Gondarém,Vila Nova de Cerveira
Estação de Gouveia,Abrunhosa-a-Velha,Mangualde
Estação de Granja,São Félix da Marinha,Vila Nova de Gaia
Estação de Guia,Guia,Pombal
Estação de Guimarães,Urgezes,Guimarães
Estação de Irivo,Irivo,Penafiel
Estação de Jerumelo,Sapataria,Sobral de Monte Agraço
Estação de Juncal,Paredes de Viadores,Marco de Canaveses
Estação de Lagos,São Sebastião,Lagos
Estação de Lamarosa,Olaia,Torres Novas
Estação de Lapa do Lobo,Lapa do Lobo,Nelas
Estação de Lapa,São Paio de Oleiros,Santa Maria da Feira
Estação de Lardosa,Lardosa,Castelo Branco
Estação de Lares,Vila Verde,Figueira da Foz
Estação de Leandro,São Pedro Fins,Maia
Estação de Leiria,Marrazes,Leiria
Estação de Lisboa - Santa Apolónia,Santa Engrácia,Lisboa
Estação de Litém,São Simão de Litém,Pombal
Estação de Livração,Constance,Marco de Canaveses
Estação de Lordelo,Lordelo,Guimarães
Estação de Loulé,São Sebastião,Loulé
Estação de Louriçal,Carriço,Pombal
Estação de Louro,Louro,Vila Nova de Famalicão
Estação de Lousado,Lousado,Vila Nova de Famalicão
Estação de Luso - Buçaco,Luso,Mealhada
Estação de Maçainhas,Maçainhas,Belmonte
Estação de Macinhata do Vouga,Macinhata do Vouga,Águeda
Estação de Madalena,Madalena,Vila Nova de Gaia
Estação de Mafra,Igreja Nova,Mafra
Estação de Malveira,Malveira,Mafra
Estação de Mangualde,Mangualde,Mangualde
Estação de Marco de Canaveses,Rio de Galinhas,Marco de Canaveses
Estação de Marinha Grande,Marinha Grande,Marinha Grande
Estação de Martingança,Martingança,Alcobaça
Estação de Marujal,Vila Nova da Barca,Montemor-o-Velho
Estação de Marvila,Marvila,Lisboa
Estação de Massamá - Barcarena,Massamá,Sintra
Estação de Mato de Miranda,Azinhaga,Golegã
Estação de Mazagão,Aveleda,Braga
Estação de Mealhada,Mealhada,Mealhada
Estação de Meinedo,Meinedo,Lousada
Estação de Messines - Alte,São Bartolomeu de Messines,Silves
Estação de Metro de Contumil,Campanhã,Porto
Estação de Metro de Rio Tinto,Rio Tinto,Gondomar
Estação de Midões,Midões,Barcelos
Estação de Mira Sintra - Meleças,Belas,Sintra
Estação de Miramar,Arcozelo,Vila Nova de Gaia
Estação de Mirão,São Tomé de Covelas,Baião
Estação de Miuzela,Miuzela,Almeida
Estação de Mogofores,Mogofores,Anadia
Estação de Moimenta-Alcafache,Espinho,Mangualde
Estação de Moita,Moita,Moita
Estação de Moledo do Minho,Moledo,Caminha
Estação de Monte Abraão,Queluz,Sintra
Estação de Monte de Lobos,Vale de Remígio,Mortágua
Estação de Monte de Paramos,Paramos,Espinho
Estação de Monte Estoril,Estoril,Cascais
Estação de Monte Gordo,Monte Gordo,Vila Real de Santo António
Estação de Monte Real,Souto de Carpalhosa,Leiria
Estação de Monte Redondo,Monte Redondo,Leiria
Estação de Montemor,Alfarelos,Soure
Estação de Mortágua,Mortágua,Mortágua
Estação de Moscavide,Moscavide,Loures
Estação de Mosteirô,Ribadouro,Baião
Estação de Mouquim,Mouquim,Vila Nova de Famalicão
Estação de Mourisca do Vouga,Trofa,Águeda
Estação de Mouriscas-A,Mouriscas,Abrantes
Estação de Nelas,Nelas,Nelas
Estação de Nespereira,Nespereira,Guimarães
Estação de Nine,Nine,Vila Nova de Famalicão
Estação de Óbidos,Santa Maria,Óbidos
Estação de Oeiras,Oeiras e São Julião da Barra,Oeiras
Estação de Oiã,Oiã,Oliveira do Bairro
Estação de Oleiros,Urrô,Penafiel
Estação de Oliveira de Azeméis,Oliveira de Azeméis,Oliveira de Azeméis
Estação de Oliveira do Bairro,Oliveira do Bairro,Oliveira do Bairro
Estação de Oliveira,Oliveira,Amarante
Estação de Oliveirinha-Cabanas,Oliveira do Conde,Carregal do Sal
Estação de Oronhe,Espinhel,Águeda
Estação de Outeiro,Outeiro da Cabeça,Torres Vedras
Estação de Ovar,São João,Ovar
Estação de Paço de Arcos,Paço de Arcos,Oeiras
Estação de Paços de Brandão,Paços de Brandão,Santa Maria da Feira
Estação de Paialvo,Madalena,Tomar
Estação de Pala,Ribadouro,Baião
Estação de Palmela,Palmela,Palmela
Estação de Pampilhosa,Pampilhosa,Mealhada
Estação de Papízios,Papízios,Carregal do Sal
Estação de Parada,Parada de Todeia,Paredes
Estação de Paraimo-Sangalhos,Sangalhos,Anadia
Estação de Paramos,Paramos,Espinho
Estação de Paredes,Castelões de Cepeda,Paredes
Estação de Parque das Cidades,Almancil,Loulé
Estação de Pataias,Pataias,Alcobaça
Estação de Paúl,Roliça,Bombarral
Estação de Pedra Furada,Almargem do Bispo,Sintra
Estação de Pegões,Santo Isidro de Pegões,Montijo
Estação de Pelariga,Pelariga,Pombal
Estação de Penafiel,Novelas,Penafiel
Estação de Penalva,Quinta do Anjo,Palmela
Estação de Penteado,Moita,Moita
Estação de Pereira,Pereira,Montemor-o-Velho
Estação de Pereirinhas,Moreira de Cónegos,Guimarães
Estação de Pêro Negro,Sapataria,Sobral de Monte Agraço
Estação de Pinhão,Pinhão,Alijó
Estação de Pinheiro da Bemposta,Pinheiro da Bemposta,Oliveira de Azeméis
Estação de Poceirão,Poceirão,Palmela
Estação de Pocinho,Vila Nova de Foz Côa,Vila Nova de Foz Côa
Estação de Pombal,Pombal,Pombal
Estação de Ponte de Sôr,Ponte de Sôr,Ponte de Sôr
Estação de Portalegre,Urra,Portalegre
Estação de Portela,Covelas,Trofa
Estação de Portela de Sintra,Santa Maria e São Miguel,Sintra
Estação de Portimão,Portimão,Portimão
Estação de Porto - Campanhã,Campanhã,Porto
Estação de Porto de Rei,Barqueiros,Mesão Frio
Estação de Porto - São Bento,Sé,Porto
Estação de Praça do Quebedo,Santa Maria da Graça,Setúbal
Estação de Praia do Ribatejo,Praia do Ribatejo,Vila Nova da Barquinha
Estação de Praias do Sado-A,Sado,Setúbal
Estação de Queluz - Belas,Queluz,Sintra
Estação de Quintans,Oliveirinha,Aveiro
Estação de Ramalhal,Ramalhal,Torres Vedras
Estação de Reboleira,Águas Livres,Amadora
Estação de Recarei-Sobreira,Sobreira,Paredes
Estação de Recesinhos,Castelões,Penafiel
Estação de Rede,Vila Marim,Mesão Frio
Estação de Régua,Peso da Régua,Peso da Régua
Estação de Reguengo-Vale da Pedra-Pontével,Vale da Pedra,Cartaxo
Estação de Retaxo,Retaxo,Castelo Branco
Estação de Reveles,Abrunheira,Montemor-o-Velho
Estação de Riachos-Torres Novas-Golegã,Riachos,Torres Novas
Estação de Rio de Mouro,Rio de Mouro,Sintra
Estação de Rio Meão,Rio Meão,Santa Maria da Feira
Estação de Rochoso,Rochoso,Guarda
Estação de Ródão,Vila Velha de Ródão,Vila Velha de Ródão
Estação de Roma-Areeiro,Alvalade,Lisboa
Estação de Ruilhe,Ruilhe,Braga
Estação de Runa,Runa,Torres Vedras
Estação de Sabugal,Panóias de Cima,Guarda
Estação de Sabugo,Almargem do Bispo,Sintra
Estação de Sacavém,Parque das Nações,Lisboa
Estação de Salir do Porto,Salir do Porto,Caldas da Rainha
Estação de Salreu,Salreu,Estarreja
Estação de Sampaio-Oleiros,São Paio de Oleiros,Santa Maria da Feira
Estação de Sanfins,Sanfins,Santa Maria da Feira
Estação de Santa Cita,Madalena,Tomar
Estação de Santa Clara - Sabóia,Santa Clara-a-Velha,Odemira
Estação de Santa Comba Dão,Vimieiro,Santa Comba Dão
Estação de Santa Cruz - Damaia,Águas Livres,Amadora
Estação de Santa Eulália-A,Santa Eulália,Elvas
Estação de Santa Iria,Santa Iria de Azóia,Loures
Estação de Santa Margarida,Santa Margarida da Coutada,Constância
Estação de Santana-Cartaxo,Vila Chã de Ourique,Cartaxo
Estação de Santarém,Santa Iria da Ribeira de Santarém,Santarém
Estação de Santiago de Riba-Ul,Santiago de Riba-Ul,Oliveira de Azeméis
Estação de Santo Amaro,Oeiras e São Julião da Barra,Oeiras
Estação de Santo Tirso,Santo Tirso,Santo Tirso
Estação de Santos,Santos-o-Velho,Lisboa
Estação de São Frutuoso,Folgosa,Maia
Estação de São João da Madeira,São João da Madeira,São João da Madeira
Estação de São João das Craveiras,Pegões,Montijo
Estação de São João de Loure,Eixo,Aveiro
Estação de São João de Ver,São João de Ver,Santa Maria da Feira
Estação de São João do Estoril,Estoril,Cascais
Estação de São Mamede,Roliça,Bombarral
Estação de São Martinho do Campo,Campo,Valongo
Estação de São Martinho do Porto,São Martinho do Porto,Alcobaça
Estação de São Pedro da Torre,São Pedro da Torre,Valença
Estação de São Pedro do Estoril,Estoril,Cascais
Estação de São Romão,São Romão,Trofa
Estação de Sapataria,Sapataria,Sobral de Monte Agraço
Estação de Sarnadas,Sarnadas de Ródão,Vila Velha de Ródão
Estação de Seiça-Ourém,Seiça,Ourém
Estação de Seixas,Seixas,Caminha
Estação de Senhora da Agonia,Vilarelho,Caminha
Estação de Senhora das Neves,Vila de Punhe,Viana do Castelo
Estação de Sernada do Vouga,Macinhata do Vouga,Águeda
Estação de Sete Rios,São Domingos de Benfica,Lisboa
Estação de Setil,Vale da Pedra,Cartaxo
Estação de Setúbal,São Sebastião,Setúbal
Estação de Silva,Silva,Barcelos
Estação de Silvalde,Silvalde,Espinho
Estação de Silvalde-Vouga,Silvalde,Espinho
Estação de Silves,Silves,Silves
Estação de Simões,Soure,Soure
Estação de Sintra,Santa Maria e São Miguel,Sintra
Estação de Soalheira,Castelo Novo,Fundão
Estação de Soito,Espinho,Mortágua
Estação de Soudos - Vila Nova,Paialvo,Tomar
Estação de Soure,Soure,Soure
Estação de Souselas,Souselas,Coimbra
Estação de Suzão,Valongo,Valongo
Estação de Tadim,Tadim,Braga
Estação de Taipa-Requeixo,Requeixo,Aveiro
Estação de Tamel,Aborim,Barcelos
Estação de Tancos,Praia do Ribatejo,Vila Nova da Barquinha
Estação de Taveiro,Taveiro,Coimbra
Estação de Tavira,Santiago,Tavira
Estação de Terronhas,Recarei,Paredes
Estação de Tojeirinha,Vila Velha de Ródão,Vila Velha de Ródão
Estação de Tomar,São João Baptista,Tomar
Estação de Torre das Vargens,Ponte de Sôr,Ponte de Sôr
Estação de Torres Vedras,Santa Maria do Castelo e São Miguel,Torres Vedras
Estação de Tortosendo,Tortosendo,Covilhã
Estação de Tramagal,Tramagal,Abrantes
Estação de Trancoso,Recarei,Paredes
Estação de Travagem,Ermesinde,Valongo
Estação de Travanca-Macinhata,Travanca,Oliveira de Azeméis
Estação de Travassô,Travassô,Águeda
Estação de Trofa,São Martinho,Trofa
Estação de Tua,Castanheiro,Carrazeda de Ansiães
Estação de Ul,Ul,Oliveira de Azeméis
Estação de Urgueiras,Albergaria-a-Velha,Albergaria-a-Velha
Estação de Vacariça,Vacariça,Mealhada
Estação de Valadares,Valadares,Vila Nova de Gaia
Estação de Valado-Nazaré-Alcobaça,Valado dos Frades,Nazaré
Estação de Vale de Figueira,Vale de Figueira,Santarém
Estação de Vale de Prazeres,Vale de Prazeres,Fundão
Estação de Vale de Santarém,Vale de Santarém,Santarém
Estação de Válega,Válega,Ovar
Estação de Valença,Valença,Valença
Estação de Valongo do Vouga,Valongo do Vouga,Águeda
Estação de Valongo,Valongo,Valongo
Estação de Vargelas,Vale da Figueira,São João da Pesqueira
Estação de Venda do Alcaide,Palmela,Palmela
Estação de Vermoil,Santiago de Litém,Pombal
Estação de Verride,Verride,Montemor-o-Velho
Estação de Vesúvio,Numão,Vila Nova de Foz Côa
Estação de Viana do Castelo,Santa Maria Maior,Viana do Castelo
Estação de Vila da Feira,Feira,Santa Maria da Feira
Estação de Vila das Aves,Aves,Santo Tirso
Estação de Vila Fernando,Vila Fernando,Guarda
Estação de Vila Franca das Naves,Vila Franca das Naves,Trancoso
Estação de Vila Franca de Xira,Vila Franca de Xira,Vila Franca de Xira
Estação de Vila Meã,Ataíde,Amarante
Estação de Vila Nova da Rainha,Vila Nova da Rainha,Azambuja
Estação de Vila Nova de Anços,Vila Nova de Anços,Soure
Estação de Vila Nova de Cerveira,Vila Nova de Cerveira,Vila Nova de Cerveira
Estação de Vila Nova de Gaia - Devessas,Santa Marinha,Vila Nova de Gaia
Estação de Vila Pouca do Campo,Ameal,Coimbra
Estação de Vilar Formoso,Vilar Formoso,Almeida
Estação de Vilela-Fornos,Torre de Vilela,Coimbra
Estação de Virtudes,Aveiras de Baixo,Azambuja
Estação de Vizela,São Miguel,Vizela
Estação de Zibreira,Sobral de Monte Agraço,Sobral de Monte Agraço
Estação do Barreiro,Barreiro,Barreiro
Estação do Carregado,Castanheira do Ribatejo,Vila Franca de Xira
Estação do Entroncamento,São João Baptista,Entroncamento
Estação do Estoril,Estoril,Cascais
Estação do Lavradio,Lavradio,Barreiro
Estação do Pragal,Pragal,Almada
Estação do Rossio,Santa Justa,Lisboa
Estação Encarnação,Santa Maria dos Olivais,Lisboa
Estação Espaço Natureza,Mindelo,Vila do Conde
Estação Esposade,Custóias,Matosinhos
Estação Estádio do Dragão,Campanhã,Porto
Estação Fânzeres,Fânzeres,Gondomar
Estação Faria Guimarães,Santo Ildefonso,Porto
Estação Ferroviária de Contumil,Campanhã,Porto
Estação Ferroviária de Rio Tinto,Rio Tinto,Gondomar
Estação Fonte do Cuco,Custóias,Matosinhos
Estação Francos,Ramalde,Porto
Estação Heroísmo,Bonfim,Porto
Estação Hospital de São João,Paranhos,Porto
Estação IPO,Paranhos,Porto
Estação Jardim do Morro,Santa Marinha,Vila Nova de Gaia
Estação João de Deus,Mafamude,Vila Nova de Gaia
Estação Lapa,Cedofeita,Porto
Estação Levada,Rio Tinto,Gondomar
Estação Lidador,Vila Nova da Telha,Maia
Estação Marquês,Santo Ildefonso,Porto
Estação Mindelo,Mindelo,Vila do Conde
Estação Modivas Centro,Modivas,Vila do Conde
Estação Modivas Sul,Modivas,Vila do Conde
Estação Moscavide,Parque das Nações,Lisboa
Estação Nasoni,Campanhã,Porto
Estação Nau Vitória,Campanhã,Porto
Estação Olaias,Areeiro,Lisboa
Estação Olivais,Olivais,Lisboa
Estação Pedras Rubras,Moreira,Maia
Estação Pólo Universitário,Paranhos,Porto
Estação Portas Fronhas,Vila do Conde,Vila do Conde
Estação Póvoa de Varzim,Póvoa de Varzim,Póvoa de Varzim
Estação Ramalde,Ramalde,Porto
Estação Saldanha,Nossa Senhora de Fátima,Lisboa
Estação Salgueiros,Paranhos,Porto
Estação Santa Clara,Vila do Conde,Vila do Conde
Estação Santo Ovídio,Mafamude,Vila Nova de Gaia
Estação São Brás,Vila do Conde,Vila do Conde
Estação São Sebastião,São Sebastião da Pedreira,Lisboa
Estação Senhora da Hora,Senhora da Hora,Matosinhos
Estação Sete Bicas,Senhora da Hora,Matosinhos
Estação Trindade,Santo Ildefonso,Porto
Estação Varziela,Árvore,Vila do Conde
Estação Venda Nova,Rio Tinto,Gondomar
Estação Verdes,Moreira,Maia
Estação Via Rápida / Viso,Ramalde,Porto
Estação Vila do Conde,Vila do Conde,Vila do Conde
Estação Vilar do Pinheiro,Vilar do Pinheiro,Vila do Conde
Estádio Algarve,Almancil,Loulé
Estoi,Estoi,Faro
Estômbar,Estômbar,Lagoa
"Estrela, Moura",Póvoa de São Miguel,Moura
Exponor - Feira Internacional do Porto,Leça da Palmeira,Matosinhos
Faro - Avenida Calouste Gulbenkian,São Pedro,Faro
Faro - São Pedro,São Pedro,Faro
Faro - Sé,Sé,Faro
Ferragudo,Ferragudo,Lagoa
Ferreira do Alentejo,Ferreira do Alentejo,Ferreira do Alentejo
Ferreiras,Ferreiras,Albufeira
Fóia,Monchique,Monchique
Fonte Benémola,Querença,Loulé
Fonte do Penedo,Odeleite,Castro Marim
Fonte Zambujo de Baixo,Pereiro,Alcoutim
Fonte Zambujo de Cima,Pereiro,Alcoutim
Fonte Zambujo,Pereiro,Alcoutim
Formoa,Santana de Cambas,Mértola
Forum Algarve,São Pedro,Faro
Foz de Odeleite,Odeleite,Castro Marim
Furnazinhas,Odeleite,Castro Marim
Fuseta,Fuseta,Olhão
Gare do Oriente,Parque das Nações,Lisboa
Giões,Giões,Alcoutim
Grândola,Grândola,Grândola
Guerreiros do Rio,Alcoutim,Alcoutim
Guia,Guia,Albufeira
Hangares,Sé,Faro
Hortas,Monte Gordo,Vila Real de Santo António
IC1 - Cruzamento com a N124,São Bartolomeu de Messines,Silves
IC1 - Cruzamento com a N263,Panóias,Ourique
IC1 - Fim,Ferreiras,Albufeira
IC17 CRIL - Acesso Norte à Saída 1 da A8,Camarate,Loures
IC17 CRIL - Início,Algés,Oeiras
IC17 CRIL - Odivelas Oeste,Odivelas,Odivelas
IC17 CRIL - Saída 1,Algés,Oeiras
IC17 CRIL - Saída 2,São Francisco Xavier,Lisboa
IC17 CRIL - Saída 4,Alfragide,Amadora
IC17 CRIL - Saída 5,Alfragide,Amadora
IC17 CRIL - Saída 7,Benfica,Lisboa
IC17 CRIL - Saída 8,Falagueira-Venda Nova,Amadora
IC17 CRIL - Saída 10,Odivelas,Odivelas
IC19 - Palácio de Queluz,Queluz,Sintra
IC19 - Saída 2,Buraca,Amadora
IC19 - Saída 2A,Damaia,Amadora
IC19 - Saída 3,Venteira,Amadora
IC19 - Saída 4,Venteira,Amadora
IC19 - Saída 5,Queluz,Sintra
IC19 - Saída 7,Barcarena,Oeiras
IC19 - Saída 8,Massamá,Sintra
IC19 - Saída 9,Cacém,Sintra
IC19 - Saída 10,Cacém,Sintra
IC19 - Saída 11,Rio de Mouro,Sintra
IC19 - Saída 12,Rio de Mouro,Sintra
IC19 - Saída 13,São Pedro de Penaferrim,Sintra
IC23 - Avenida da Boavista Nascente,Lordelo do Ouro,Porto
IC23 - Avenida da Boavista Poente,Ramalde,Porto
IC23 - Campanhã,Campanhã,Porto
IC23 - Campo Alegre,Lordelo do Ouro,Porto
IC23 - Cruzamento com a N14,Paranhos,Porto
IC23 - Estádio do Dragão,Campanhã,Porto
IC23 - Nó das Antas,Paranhos,Porto
IC23 - Paranhos,Paranhos,Porto
IC23 - Rua do Amial,Paranhos,Porto
IC27 - Fim,Pereiro,Alcoutim
IC27 - Início,Castro Marim,Castro Marim
IC27 - Saída 1,Castro Marim,Castro Marim
IC27 - Saída 2,Azinhal,Castro Marim
IC27 - Saída 3,Azinhal,Castro Marim
IC27 - Saída 4,Odeleite,Castro Marim
IC27 - Saída 5,Odeleite,Castro Marim
IC27 - Saída 6,Alcoutim,Alcoutim
IC27 - Saída 7,Alcoutim,Alcoutim
Ilha da Armona,Quelfes,Olhão
Ilha do Farol,Sé,Faro
Ilha do Pessegueiro,Porto Covo,Sines
IP2 - Saída 38,Santana,Portel
IP2 - Saída 39,Vidigueira,Vidigueira
IP2 - Saída 40,Vidigueira,Vidigueira
IP2 - Saída 41,São Matias,Beja
IP2 - Saída 42,Santa Clara de Louredo,Beja
IP2 - Saída 43,Trindade,Beja
IP2 - Saída 44,Trindade,Beja
IP2 - Saída 45,Trindade,Beja
IP2 - Saída 46,Albernoa,Beja
IP2 - Saída 47,Albernoa,Beja
IP2 - Saída 48,Castro Verde,Castro Verde
IP2 - Saída 49,Castro Verde,Castro Verde
IP2 - Saída 50,Castro Verde,Castro Verde
IP3 - Saída 9,Botão,Coimbra
IP3 - Saída 9A,Figueira de Lorvão,Penacova
IP5 - Joana Martins,Ventosa,Vouzela
IP5 - Saída 13,Boaldeia,Viseu
IP5 - Saída 14,São Cipriano,Viseu
IP5 - Saída 15,Abraveses,Viseu
IP5 - Saída 16,Campo,Viseu
IP5 - Saída 17,Rio de Loba,Viseu
IP8 - Cruzamento com a N261,Santo André,Santiago do Cacém
IP8 - Cruzamento com a N261-1,Grândola,Grândola
IP8 - Cruzamento com a N261-2,Melides,Grândola
IP8 - Início,Sines,Sines
Junqueira,Castro Marim,Castro Marim
Lagoa de Santo André,Santo André,Santiago do Cacém
Lagoa,Lagoa,Lagoa
Lagos,Santa Maria,Lagos
Laranjeiras,Alcoutim,Alcoutim
Lisboa Camping & Bungalows,Benfica,Lisboa
Livramento,Luz de Tavira,Tavira
Lombardos,Mértola,Mértola
Loulé,São Clemente,Loulé
Luz de Tavira,Luz de Tavira,Tavira
"Luz, Lagos",Luz,Lagos
Luzianes,Luzianes-Gare,Odemira
Malveira da Serra,Alcabideche,Cascais
Manta Rota,Vila Nova de Cacela,Vila Real de Santo António
MAR Shopping Algarve,Almancil,Loulé
MAR Shopping Matosinhos,Leça da Palmeira,Matosinhos
Marina de Albufeira,Albufeira,Albufeira
Marina de Lagos,São Sebastião,Lagos
Marina de Portimão,Portimão,Portimão
Marmeleiro,Alcoutim,Alcoutim
Marmelete,Marmelete,Monchique
Martim Longo,Martim Longo,Alcoutim
Meia Praia,São Sebastião,Lagos
Melides,Melides,Grândola
Menires do Lavajo,Alcoutim,Alcoutim
Mértola,Mértola,Mértola
Mesquita,Espírito Santo,Mértola
Messejana,Messejana,Aljustrel
Mexilhoeira da Carregação,Estômbar,Lagoa
Mexilhoeira Grande,Mexilhoeira Grande,Portimão
