Location A,Location B,Means of transport,Distance,Way,Cardinal point,Order A,Order B
A3 - Saída 5,Área de Serviço de Coronado/Trofa,Car,10.2,A3,SW,1,2
A3 - Saída 5,Cruzamento da A3 com a A7,Car,5.4,A3,N,2,1
A3 - Saída 7,A3 - Saída 8,Car,7.2,A3,N,2,1
A3 - Saída 7,Cruzamento da A3 com a A7,Car,8.7,A3,S,1,2
A3 - Saída 8,Cruzamento da A3 com a A11,Car,3.3,A3,NW,2,1
A3 - Saída 10,A3 - Saída 11,Car,10.1,A3,N,2,1
A3 - Saída 10,Área de Serviço de Barcelos,Car,10.0,A3,S,1,2
A3 - Saída 11,Cruzamento da A3 com a A27,Car,1.3,A3,N,2,1
A3 - Saída 13,A3 - Saída 14,Car,8.1,A3,N,2,1
A3 - Saída 13,Cruzamento da A3 com a A27,Car,20.5,A3,SE,1,2
A3 - Saída 14,A3 - Saída 15,Car,4.6,A3,N,2,1
A3 - Saída 15,A-55 - Saída 30,Car,0.7,A3,NW,2,1
A3 - Saída 15,Estação de Valença,Car,1.4,,E,3,4
A5 - Fim,A5 - Saída 12,Car,0.5,A5,E,1,2
A5 - Saída 1,A5 - Saída 2,Car,1.6,A5,W,4,1
A5 - Saída 1,"Avenida Engenheiro Duarte Pacheco, Lisboa",Car,1.1,A5,E,3,1
A5 - Saída 1,Eixo Norte-Sul - Alcântara,Car,1.6,Eixo Norte-Sul,S,2,1
A5 - Saída 1,Eixo Norte-Sul - Campolide,Car,0.7,Eixo Norte-Sul,NE,1,2
A5 - Saída 2,A5 - Saída 3,Car,1.5,A5,SW,2,1
A5 - Saída 3,A5 - Saída 4,Car,1.0,A5,SW,2,3
A5 - Saída 3,IC17 CRIL - Saída 4,Car,0.3,N117,N,3,4
A5 - Saída 4,A5 - Saída 5,Car,1.4,A5,W,4,1
A5 - Saída 4,IC17 CRIL - Saída 2,Car,0.6,IC17 CRIL,S,1,2
A5 - Saída 4,IC17 CRIL - Saída 4,Car,1.3,IC17 CRIL,NE,2,1
A5 - Saída 5,Cruzamento da A5 com a A9 CREL,Car,2.8,A5,SW,2,1
A5 - Saída 7,A5 - Saída 8,Car,3.8,A5,SW,2,1
A5 - Saída 7,Área de Serviço de Oeiras,Car,1.0,A5,E,1,2
A5 - Saída 8,A5 - Saída 9,Car,4.7,A5,NW,2,1
A5 - Saída 9,Cruzamento da A16 com a A5,Car,3.0,A5,NW,2,1
A5 - Saída 11,A5 - Saída 12,Car,1.5,A5,SW,2,1
A5 - Saída 11,Cruzamento da A16 com a A5,Car,0.8,A5,E,1,2
