Location A,Location B,Means of transport,Distance,Way,Cardinal point,Order A,Order B
A-62 - Saída 252,A-62 - Saída 258,Car,6.2,A-62,W,1,2
A-62 - Saída 258,A-62 - Saída 260,Car,2.8,A-62,W,1,2
A-62 - Saída 260,A-62 - Saída 269,Car,8.6,A-62,W,1,2
A-62 - Saída 269,A-62 - Saída 276,Car,6.7,A-62,W,1,2
A-62 - Saída 276,A-62 - Saída 282,Car,6.6,A-62,W,1,2
A-62 - Saída 282,A-62 - Saída 285,Car,2.9,A-62,W,1,2
A-62 - Saída 285,A-62 - Saída 293,Car,8.3,A-62,W,1,2
A-62 - Saída 293,A-62 - Saída 297,Car,4.4,A-62,W,1,2
A-62 - Saída 297,A-62 - Saída 309,Car,11.2,A-62,SW,1,2
A-62 - Saída 309,A-62 - Saída 312,Car,2.8,A-62,SW,1,2
A-62 - Saída 312,A-62 - Saída 315,Car,3.9,A-62,SW,1,2
A-62 - Saída 315,A-62 - Saída 325,Car,9.2,A-62,SW,1,2
A-62 - Saída 325,A-62 - Saída 327,Car,1.5,A-62,S,1,2
A-62 - Saída 327,A-62 - Saída 332,Car,5.0,A-62,W,1,2
A-62 - Saída 332,A-62 - Saída 339,Car,7.8,A-62,W,1,2
A-62 - Saída 339,A-62 - Saída 344,Car,4.7,A-62,W,1,2
A-62 - Saída 344,A-62 - Saída 352,Car,7.9,A-62,W,1,2
A-62 - Saída 352,A-62 - Saída 355,Car,3.1,A-62,NW,1,2
A-66 - Saída 332,Cruzamento Norte da A-62 com a A-66,Car,4.0,A-66,S,1,3
A-66 - Saída 346,A-66 - Saída 348,Car,2.9,A-66,S,1,2
A-66 - Saída 346,Cruzamento da A-66 com a SA-20,Car,2.9,A-66,NW,2,1
A-66 - Saída 348,A-66 - Saída 352,Car,3.5,A-66,S,1,2
A-66 - Saída 352,A-66 - Saída 360,Car,8.4,A-66,S,1,2
A-66 - Saída 360,A-66 - Saída 363,Car,3.5,A-66,S,1,2
A-66 - Saída 363,A-66 - Saída 371,Car,7.9,A-66,S,1,2
A-66 - Saída 371,A-66 - Saída 375,Car,3.7,A-66,S,1,2
A-66 - Saída 375,A-66 - Saída 380,Car,4.5,A-66,S,1,2
A-66 - Saída 380,A-66 - Saída 387,Car,7.2,A-66,S,1,2
A-66 - Saída 387,A-66 - Saída 393,Car,6.0,A-66,S,1,2
A-66 - Saída 393,A-66 - Saída 396,Car,2.8,A-66,S,1,2
A-66 - Saída 396,A-66 - Saída 398,Car,1.6,A-66,S,1,2
A-66 - Saída 398,A-66 - Saída 400,Car,2.9,A-66,S,1,2
A-66 - Saída 400,A-66 - Saída 402,Car,0.9,A-66,SW,1,2
A-66 - Saída 402,A-66 - Saída 404,Car,2.4,A-66,SW,1,2
A-66 - Saída 404,A-66 - Saída 408,Car,4.0,A-66,SW,1,2
A-66 - Saída 408,A-66 - Saída 410,Car,2.0,A-66,SW,1,2
A-66 - Saída 410,A-66 - Saída 414,Car,3.9,A-66,W,1,2
A-66 - Saída 414,A-66 - Saída 417,Car,2.3,A-66,W,1,2
A-66 - Saída 417,A-66 - Saída 424,Car,5.7,A-66,SW,1,2
A-66 - Saída 424,A-66 - Saída 427,Car,3.2,A-66,SW,1,2
A-66 - Saída 427,A-66 - Saída 436,Car,8.4,A-66,SW,1,2
A-66 - Saída 436,A-66 - Saída 442,Car,6.1,A-66,W,1,2
A-66 - Saída 442,A-66 - Saída 446,Car,3.2,A-66,SW,1,2
A-66 - Saída 446,A-66 - Saída 449,Car,2.7,A-66,SW,1,2
A-66 - Saída 449,A-66 - Saída 455,Car,6.1,A-66,SW,1,2
A-66 - Saída 455,A-66 - Saída 463,Car,7.5,A-66,SW,1,2
A-66 - Saída 463,A-66 - Saída 471,Car,7.7,A-66,SW,1,2
A-66 - Saída 471,Cruzamento da A-66 com a EX-A1,Car,6.9,A-66,SW,1,2
A-66 - Saída 485,A-66 - Saída 488,Car,4.3,A-66,SW,1,2
A-66 - Saída 485,Cruzamento da A-66 com a EX-A1,Car,5.5,A-66,NE,2,1
A-66 - Saída 488,A-66 - Saída 494,Car,5.8,A-66,SW,1,2
A-66 - Saída 494,A-66 - Saída 498,Car,3.8,A-66,SW,1,2
A-66 - Saída 498,A-66 - Saída 503,Car,5.0,A-66,W,1,2
A-66 - Saída 503,A-66 - Saída 505,Car,1.8,A-66,S,1,2
A-66 - Saída 505,A-66 - Saída 508,Car,2.5,A-66,S,1,2
A-66 - Saída 508,A-66 - Saída 523,Car,12.7,A-66,S,1,2
A-66 - Saída 523,A-66 - Saída 528,Car,5.3,A-66,S,1,2
A-66 - Saída 528,A-66 - Saída 539,Car,11.2,A-66,S,1,2
A-66 - Saída 539,A-66 - Saída 542,Car,2.4,A-66,S,1,2
A-66 - Saída 542,A-66 - Saída 545,Car,2.7,A-66,SW,1,2
A-66 - Saída 545,A-66 - Saída 551,Car,6.8,A-66,S,1,2
A-66 - Saída 551,A-66 - Saída 555,Car,3.6,A-66,SE,1,2
A-66 - Saída 555,A-66 - Saída 564,Car,7.7,A-66,SE,1,2
A-66 - Saída 564,A-66 - Saída 576,Car,11.8,A-66,S,1,2
A-66 - Saída 576,A-66 - Saída 582,Car,7.2,A-66,S,1,2
A-66 - Saída 582,A-66 - Saída 590,Car,7.8,A-66,S,1,2
A-66 - Saída 590,A-66 - Saída 592,Car,2.4,A-66,S,1,2
A-66 - Saída 592,A-66 - Saída 606,Car,13.7,A-66,SW,1,2
A-66 - Saída 606,A-66 - Saída 613,Car,7.1,A-66,S,1,2
A-66 - Saída 613,Cruzamento da A-5 com a A-66 Norte,Car,4.0,A-66,S,1,3
A-66 - Saída 626,A-66 - Saída 627,Car,1.0,A-66,S,1,2
A-66 - Saída 626,Cruzamento da A-5 com a A-66 Sul,Car,1.2,A-66,NW,2,3
A-66 - Saída 627,A-66 - Saída 630,Car,3.4,A-66,S,1,2
A-66 - Saída 630,A-66 - Saída 636,Car,5.5,A-66,S,1,2
A-66 - Saída 636,A-66 - Saída 641,Car,5.0,A-66,S,1,2
A-66 - Saída 641,A-66 - Saída 648,Car,7.1,A-66,S,1,2
A-66 - Saída 648,A-66 - Saída 650,Car,2.5,A-66,SE,1,2
A-66 - Saída 650,A-66 - Saída 652,Car,1.4,A-66,SE,1,2
A-66 - Saída 652,A-66 - Saída 654,Car,1.9,A-66,S,1,2
A-66 - Saída 654,A-66 - Saída 657,Car,3.9,A-66,SE,1,2
A-66 - Saída 657,A-66 - Saída 659,Car,1.8,A-66,S,1,2
A-66 - Saída 659,A-66 - Saída 662,Car,2.4,A-66,S,1,2
A-66 - Saída 662,A-66 - Saída 666,Car,4.6,A-66,S,1,2
A-66 - Saída 666,A-66 - Saída 670,Car,3.8,A-66,SE,1,2
A-66 - Saída 670,A-66 - Saída 675,Car,5.4,A-66,S,1,2
A-66 - Saída 675,A-66 - Saída 677,Car,1.3,A-66,SE,1,2
A-66 - Saída 677,A-66 - Saída 682,Car,5.1,A-66,S,1,2
A-66 - Saída 682,A-66 - Saída 684,Car,2.5,A-66,S,1,2
A-66 - Saída 684,A-66 - Saída 687,Car,2.7,A-66,SE,1,2
A-66 - Saída 687,A-66 - Saída 694,Car,7.2,A-66,SE,1,2
A-66 - Saída 694,A-66 - Saída 700,Car,5.8,A-66,S,1,2
A-66 - Saída 700,A-66 - Saída 704,Car,3.7,A-66,S,1,2
A-66 - Saída 704,A-66 - Saída 715,Car,11.0,A-66,S,1,2
A-66 - Saída 715,A-66 - Saída 719,Car,3.1,A-66,S,1,2
A-66 - Saída 719,A-66 - Saída 722,Car,2.9,A-66,SE,1,2
A-66 - Saída 722,A-66 - Saída 730,Car,7.0,A-66,SE,1,2
A-66 - Saída 730,A-66 - Saída 741,Car,9.2,A-66,S,1,2
A-66 - Saída 741,A-66 - Saída 745,Car,3.3,A-66,S,1,2
A-66 - Saída 745,A-66 - Saída 747,Car,2.1,A-66,SE,1,2
A-66 - Saída 747,A-66 - Saída 765,Car,16.9,A-66,S,1,2
A-66 - Saída 765,A-66 - Saída 768,Car,3.5,A-66,S,1,2
A-66 - Saída 768,A-66 - Saída 771,Car,2.8,A-66,S,1,2
A-66 - Saída 771,A-66 - Saída 782,Car,11.1,A-66,SE,1,2
A-66 - Saída 782,A-66 - Saída 790,Car,7.5,A-66,SE,1,2
A-66 - Saída 790,A-66 - Saída 795,Car,4.7,A-66,S,1,2
A-66 - Saída 795,A-66 - Saída 798,Car,3.3,A-66,SE,1,2
A-66 - Saída 798,A-66 - Saída 805,Car,6.9,A-66,SE,1,2
A-66 - Saída 805,A-66 - Saída 808,Car,3.2,A-66,SE,1,2
A-66 - Saída 808,Cruzamento da A-66 com a SE-30,Car,2.2,A-66,S,1,3
A-92 - Andalucía Residencial,A-92 - Sevilha Este,Car,0.7,A-92,E,2,1
A-92 - Andalucía Residencial,Cruzamento da A-92 com a SE-30,Car,1.0,A-92,W,1,4
A-92 - Saída 5,A-92 - Torreblanca,Car,2.1,A-92,NW,1,2
A-92 - Saída 5,Cruzamento da A-92 com a SE-40,Car,2.5,A-92,SE,2,3
A-92 - Saída 7,A-92 - Saída 9,Car,1.2,A-92,SE,2,1
A-92 - Saída 7,Cruzamento da A-92 com a SE-40,Car,1.0,A-92,NW,1,4
A-92 - Saída 9,A-92 - Saída 12,Car,2.9,A-92,SE,2,1
A-92 - Saída 12,A-92 - Saída 14,Car,2.1,A-92,SE,2,1
A-92 - Saída 14,A-92 - Saída 15,Car,1.0,A-92,E,2,1
A-92 - Saída 15,A-92 - Saída 23,Car,7.8,A-92,SE,2,1
A-92 - Saída 23,A-92 - Saída 27,Car,4.5,A-92,SE,2,1
A-92 - Saída 27,A-92 - Saída 37,Car,10.0,A-92,SE,2,1
A-92 - Saída 27,Carmona,Car,22.0,,N,3,5
A-92 - Saída 37,A-92 - Saída 38,Car,0.8,A-92,E,2,1
A-92 - Saída 38,A-92 - Saída 40,Car,1.4,A-92,SE,2,1
A-92 - Saída 38,Arahal,Car,2.2,,E,3,1
A-92 - Saída 40,A-92 - Saída 41,Car,1.5,A-92,NE,2,1
A-92 - Saída 40,Arahal,Car,1.3,,N,3,4
A-92 - Saída 41,A-92 - Saída 43,Car,0.9,A-92,NE,2,1
A-92 - Saída 41,Arahal,Car,1.2,,NW,3,5
A-92 - Saída 43,A-92 - Saída 46,Car,3.8,A-92,NE,2,1
A-92 - Saída 43,Arahal,Car,1.5,,W,3,6
A-92 - Saída 46,A-92 - Saída 49,Car,3.9,A-92,E,2,1
A-92 - Saída 46,Paradas,Car,1.9,,N,3,3
A-92 - Saída 49,A-92 - Saída 63,Car,12.7,A-92,SE,2,1
A-92 - Saída 49,Marchena,Car,6.8,,NE,3,4
A-92 - Saída 63,A-92 - Saída 65,Car,1.8,A-92,E,2,1
A-92 - Saída 63,La Puebla de Cazalla,Car,1.3,,SE,4,1
A-92 - Saída 63,Marchena,Car,14.3,,NW,3,5
A-92 - Saída 65,A-92 - Saída 80,Car,15.8,A-92,E,2,1
A-92 - Saída 65,La Puebla de Cazalla,Car,1.9,,SW,3,2
A-92 - Saída 80,A-92 - Saída 82,Car,1.7,A-92,SE,2,1
A-92 - Saída 80,Osuna,Car,2.7,,E,3,1
A-92 - Saída 82,A-92 - Saída 84,Car,1.8,A-92,E,2,1
A-92 - Saída 82,Osuna,Car,2.1,,NE,3,3
A-92 - Saída 84,A-92 - Saída 84A,Car,0.5,A-92,NE,2,1
A-92 - Saída 84,Osuna,Car,1.4,,NW,3,4
A-92 - Saída 84A,A-92 - Saída 85,Car,0.7,A-92,NE,2,1
A-92 - Saída 84A,Osuna,Car,1.7,,NW,3,5
A-92 - Saída 85,A-92 - Saída 92,Car,6.7,A-92,NE,2,1
A-92 - Saída 85,Osuna,Car,2.2,,W,3,6
A-92 - Saída 92,A-92 - Saída 95,Car,2.8,A-92,NE,2,1
A-92 - Saída 95,A-92 - Saída 97,Car,2.3,A-92,NE,2,1
A-92 - Saída 97,A-92 - Saída 103,Car,6.0,A-92,NE,2,1
A-92 - Saída 97,Pedrera,Car,8.3,,SE,3,1
A-92 - Saída 103,A-92 - Saída 105,Car,2.5,A-92,NE,2,1
A-92 - Saída 103,Estepa,Car,2.9,,E,3,1
A-92 - Saída 105,A-92 - Saída 106,Car,1.0,A-92,E,2,1
A-92 - Saída 105,Estepa,Car,2.0,,S,3,4
A-92 - Saída 106,A-92 - Saída 109,Car,2.0,A-92,SE,2,1
A-92 - Saída 106,Estepa,Car,2.2,,SW,3,5
A-92 - Saída 109,A-92 - Saída 112,Car,3.5,A-92,SE,2,1
A-92 - Saída 109,Estepa,Car,2.4,,NW,3,6
A-92 - Saída 112,A-92 - Saída 113,Car,2.0,A-92,E,2,1
A-92 - Saída 113,A-92 - Saída 120,Car,6.0,A-92,S,2,1
A-92 - Saída 120,A-92 - Saída 123,Car,3.4,A-92,SW,2,1
A-92 - Saída 123,A-92 - Saída 125,Car,2.0,A-92,SE,2,1
A-92 - Saída 125,A-92 - Saída 132,Car,7.0,A-92,SE,2,1
A-92 - Saída 132,A-92 - Saída 138,Car,5.7,A-92,SE,2,1
A-92 - Saída 138,A-92 - Saída 142,Car,4.1,A-92,SE,2,1
A-92 - Saída 142,A-92 - Saída 146,Car,4.2,A-92,SE,2,1
A-92 - Saída 146,A-92 - Saída 149,Car,3.0,A-92,E,2,1
A-92 - Saída 149,Cruzamento da A-45 com a A-92,Car,3.2,A-92,E,2,1
A-92 - Saída 160,A-92 - Saída 163,Car,3.6,A-92,NE,2,1
A-92 - Saída 160,Cruzamento da A-45 com a A-92,Car,7.5,A-92,SW,1,2
A-92 - Saída 163,A-92 - Saída 167,Car,3.1,A-92,NE,2,1
A-92 - Saída 167,A-92 - Saída 175,Car,8.5,A-92,NE,2,1
A-92 - Saída 175,Cruzamento da A-92 com a A-92M,Car,1.5,A-92,E,2,1
A-92 - Saída 178,A-92 - Saída 180,Car,2.5,A-92,NE,2,1
A-92 - Saída 178,Cruzamento da A-92 com a A-92M,Car,1.5,A-92,SW,1,2
A-92 - Saída 180,A-92 - Saída 183,Car,2.5,A-92,NE,2,1
A-92 - Saída 183,A-92 - Saída 185,Car,2.1,A-92,NE,2,1
A-92 - Saída 185,A-92 - Saída 187,Car,2.0,A-92,NE,2,1
A-92 - Saída 187,A-92 - Saída 188,Car,0.8,A-92,NE,2,1
A-92 - Saída 188,A-92 - Saída 193,Car,5.4,A-92,E,2,1
A-92 - Saída 193,A-92 - Saída 197,Car,3.4,A-92,NE,2,1
A-92 - Saída 197,A-92 - Saída 200,Car,3.4,A-92,NE,2,1
A-92 - Saída 200,A-92 - Saída 203,Car,3.0,A-92,NE,2,1
A-92 - Saída 203,A-92 - Saída 206,Car,2.9,A-92,E,2,1
A-92 - Saída 206,A-92 - Saída 211,Car,4.1,A-92,SE,2,1
A-92 - Saída 211,A-92 - Saída 213,Car,2.3,A-92,E,2,1
A-92 - Saída 213,A-92 - Saída 215,Car,2.5,A-92,E,2,1
A-92 - Saída 215,A-92 - Saída 218,Car,3.4,A-92,NE,2,1
A-92 - Saída 218,A-92 - Saída 220,Car,1.3,A-92,E,2,1
A-92 - Saída 220,A-92 - Saída 221,Car,1.5,A-92,E,2,1
A-92 - Saída 221,A-92 - Saída 225,Car,3.4,A-92,E,2,1
A-92 - Saída 225,A-92 - Saída 227,Car,2.3,A-92,E,2,1
A-92 - Saída 227,A-92 - Saída 229,Car,2.7,A-92,E,2,1
A-92 - Saída 229,Aeroporto Federico García Lorca Granada-Jaén,Car,3.0,,SW,3,1
A-92 - Saída 229,Cruzamento da A-92 com a A-92G,Car,1.0,A-92,E,2,1
A-92 - Saída 236,A-92 - Saída 237,Car,1.6,A-92,NE,2,1
A-92 - Saída 236,Cruzamento da A-92 com a GR-43,Car,1.3,A-92,SW,1,2
A-92 - Saída 237,A-92 - Saída 239,Car,2.1,A-92,E,2,1
A-92 - Saída 239,Cruzamento da A-44 com a A-92,Car,0.4,A-92,NE,2,1
A-92 - Saída 245,A-92 - Saída 249,Car,4.2,A-92,E,2,1
A-92 - Saída 245,Cruzamento da A-92 com a GR-30,Car,3.9,A-92,W,1,2
A-92 - Saída 249,A-92 - Saída 250,Car,0.9,A-92,SE,2,1
A-92 - Saída 250,A-92 - Saída 253,Car,2.7,A-92,E,2,1
A-92 - Saída 253,A-92 - Saída 256,Car,3.5,A-92,E,2,1
A-92 - Saída 256,A-92 - Saída 259,Car,2.6,A-92,NE,2,1
A-92 - Saída 259,A-92 - Saída 264,Car,5.2,A-92,NE,2,1
A-92 - Saída 264,A-92 - Saída 269,Car,4.8,A-92,E,2,1
A-92 - Saída 269,A-92 - Saída 276,Car,7.0,A-92,E,2,1
A-92 - Saída 276,A-92 - Saída 278,Car,1.4,A-92,E,2,1
A-92 - Saída 278,A-92 - Saída 282,Car,4.5,A-92,E,2,1
A-92 - Saída 282,A-92 - Saída 286,Car,4.3,A-92,E,2,1
A-92 - Saída 286,A-92 - Saída 288,Car,2.0,A-92,E,2,1
A-92 - Saída 288,A-92 - Saída 292,Car,3.9,A-92,E,2,1
A-92 - Saída 292,A-92 - Saída 293,Car,1.1,A-92,E,2,1
A-92 - Saída 292,Guadix,Car,3.5,,SE,3,1
A-92 - Saída 293,A-92 - Saída 294,Car,0.9,A-92,E,2,1
A-92 - Saída 294,Cruzamento da A-92 com a A-92N,Car,2.0,A-92,E,2,1
A-92 - Saída 294,Estação de Guadix,Car,1.5,,E,3,3
A-92 - Saída 294,Guadix,Car,2.1,,S,3,2
A-92 - Saída 303,A-92 - Saída 307,Car,4.2,A-92,S,2,1
A-92 - Saída 303,Cruzamento da A-92 com a A-92N,Car,7.8,A-92,NW,1,2
A-92 - Saída 307,A-92 - Saída 312,Car,4.7,A-92,SE,2,1
A-92 - Saída 312,A-92 - Saída 318,Car,5.7,A-92,E,2,1
A-92 - Saída 318,A-92 - Saída 321,Car,2.9,A-92,E,2,1
A-92 - Saída 321,A-92 - Saída 326,Car,5.3,A-92,E,2,1
A-92 - Saída 326,A-92 - Saída 330,Car,3.8,A-92,E,2,1
A-92 - Saída 330,A-92 - Saída 333,Car,3.8,A-92,E,2,1
A-92 - Saída 333,A-92 - Saída 336,Car,3.7,A-92,E,2,1
A-92 - Saída 336,A-92 - Saída 341,Car,3.6,A-92,E,2,1
A-92 - Saída 341,A-92 - Saída 345,Car,4.7,A-92,E,2,1
A-92 - Saída 345,A-92 - Saída 352,Car,7.5,A-92,E,2,1
A-92 - Saída 352,A-92 - Saída 354,Car,2.0,A-92,E,2,1
A-92 - Saída 354,A-92 - Saída 356,Car,1.5,A-92,E,2,1
A-92 - Saída 356,A-92 - Saída 358,Car,2.3,A-92,E,2,1
A-92 - Saída 358,A-92 - Saída 360,Car,1.4,A-92,E,2,1
A-92 - Saída 360,A-92 - Saída 362,Car,1.6,A-92,E,2,1
A-92 - Saída 362,A-92 - Saída 364,Car,2.4,A-92,S,2,1
A-92 - Saída 364,A-92 - Saída 368,Car,4.3,A-92,SE,2,1
A-92 - Saída 368,A-92 - Saída 376,Car,7.1,A-92,SE,2,1
A-92 - Saída 376,A-92 - Saída 382,Car,4.6,A-92,S,2,1
A-92 - Saída 382,A-92 - Saída 387,Car,4.8,A-92,SE,2,1
A-92 - Saída 387,Cruzamento da A-7 com a A-92,Car,5.1,A-92,SE,2,3
A-92 - Sevilha Este,A-92 - Torreblanca,Car,0.8,A-92,E,2,1
A-92M - Saída 1,A-92M - Saída 7,Car,6.5,A-92M,SW,2,1
A-92M - Saída 1,Cruzamento da A-92 com a A-92M,Car,1.5,A-92M,NE,1,3
A-92M - Saída 7,A-92M - Saída 11,Car,3.4,A-92M,SW,2,1
A-92M - Saída 11,A-92M - Saída 16,Car,5.0,A-92M,SW,2,1
A-92M - Saída 16,A-92M - Saída 20,Car,4.0,A-92M,S,2,1
A-92M - Saída 20,Cruzamento da A-45 com a A-92M,Car,4.5,A-92M,SW,2,3
A-92N - Saída 3,Cruzamento da A-92 com a A-92N,Car,3.2,A-92N,SW,1,3
A-376 - Centro Comercial,A-376 - Universidade Pablo de Olavide,Car,0.9,A-376,SE,2,1
A-376 - Centro Comercial,Cruzamento da A-376 com a SE-30,Car,0.4,A-376,NW,1,3
A-376 - Condequinto,A-376 - Montequinto,Car,0.6,A-376,SE,2,1
A-376 - Condequinto,A-376 - Universidade Pablo de Olavide,Car,0.8,A-376,NW,1,2
A-376 - Fim da auto-estrada,A-376 - Saída 21,Car,2.2,A-376,NW,1,2
A-376 - Fim da auto-estrada,Cruzamento da A-362 com a A-375 e a A-376,Car,2.1,A-376,S,2,1
A-376 - Montequinto,A-376 - Saída 4A,Car,0.4,A-376,SE,2,1
A-376 - Saída 4A,A-376 - Saída 4B,Car,1.2,A-376,SE,2,1
A-376 - Saída 4B,Cruzamento da A-376 com a SE-40,Car,2.9,A-376,SE,2,3
A-376 - Saída 8,A-376 - Saída 11/13,Car,3.3,A-376,SE,2,1
A-376 - Saída 8,Cruzamento da A-376 com a SE-40,Car,1.4,A-376,NW,1,4
A-376 - Saída 11/13,A-376 - Saída 16,Car,4.9,A-376,SE,2,1
A-376 - Saída 16,A-376 - Saída 21,Car,4.4,A-376,SE,2,1
A-381 - Saída 1,A-381 - Saída 4,Car,3.5,A-381,SE,2,1
A-381 - Saída 1,Cruzamento da A-381 com a AP-4,Car,0.9,A-381,NW,1,3
A-381 - Saída 4,A-381 - Saída 10,Car,7.0,A-381,SE,2,1
A-381 - Saída 10,A-381 - Saída 17,Car,6.5,A-381,SE,2,1
A-381 - Saída 17,A-381 - Saída 24,Car,6.6,A-381,SE,2,1
A-381 - Saída 24,A-381 - Saída 31,Car,7.1,A-381,SE,2,1
A-381 - Saída 31,A-381 - Saída 36,Car,4.4,A-381,E,2,1
A-381 - Saída 36,A-381 - Saída 40,Car,4.3,A-381,SE,2,1
A-381 - Saída 40,A-381 - Saída 42,Car,1.8,A-381,SE,2,1
A-381 - Saída 42,A-381 - Saída 45,Car,2.8,A-381,SE,2,1
A-381 - Saída 45,A-381 - Saída 54,Car,9.6,A-381,SE,2,1
A-381 - Saída 54,A-381 - Saída 66,Car,11.4,A-381,SE,2,1
A-381 - Saída 66,A-381 - Saída 70,Car,4.3,A-381,SE,2,1
A-381 - Saída 70,A-381 - Saída 73,Car,3.0,A-381,S,2,1
A-381 - Saída 73,A-381 - Saída 77,Car,4.2,A-381,SE,2,1
A-381 - Saída 77,A-381 - Saída 80,Car,3.5,A-381,SE,2,1
A-381 - Saída 80,A-381 - Saída 85,Car,4.7,A-381,SE,2,1
A-381 - Saída 85,A-381 - Saída 87,Car,1.4,A-381,NE,2,1
A-381 - Saída 87,Cruzamento da A-381 com a A-7,Car,1.1,A-381,SE,2,3
A-483 - Saída 1,A-483 - Saída 3,Car,2.1,A-483,SE,2,1
A-483 - Saída 1,Bollullos Par del Condado,Car,1.8,,E,3,2
A-483 - Saída 1,Cruzamento da A-49 com a A-483,Car,1.7,A-483,N,1,3
A-483 - Saída 3,A-483 - Saída 8,Car,3.9,A-483,S,2,1
A-483 - Saída 3,Bollullos Par del Condado,Car,2.1,,N,3,3
A-483 - Saída 8,A-483 - Saída 11,Car,3.2,A-483,S,2,1
A-483 - Saída 11,A-483 - Saída 13,Car,2.5,A-483,SE,2,1
A-483 - Saída 11,Almonte,Car,1.2,,E,3,1
A-483 - Saída 13,Almonte,Car,1.7,,N,3,2
A-483 - Saída 13,El Rocío,Car,14.0,,S,2,1
A-497 - Fim,A-497 - Saída 15,Car,0.8,A-497,N,1,2
A-497 - Fim,Playa de Los Enebrales,Car,1.9,,W,3,3
A-497 - Fim,Punta Umbría,Car,2.0,,E,2,1
A-497 - Início,A-497 - Saída 3,Car,2.9,A-497,W,1,1
A-497 - Início,Centro Comercial Aqualon,Car,0.7,,S,4,1
A-497 - Início,"Paseo Marítimo, Huelva",Car,1.2,,N,2,2
A-497 - Início,Praça de Touros de La Merced,Car,0.5,,E,3,1
A-497 - Saída 3,A-497 - Saída 5,Car,2.1,A-497,SW,2,1
A-497 - Saída 3,Salinas del Odiel,Car,2.3,,SE,3,1
A-497 - Saída 5,A-497 - Saída 7,Car,1.9,A-497,SW,2,1
A-497 - Saída 7,A-497 - Saída 9,Car,2.6,A-497,S,2,1
A-497 - Saída 7,Urbanización Las Moreras,Car,1.3,,SW,3,1
A-497 - Saída 9,A-497 - Saída 10,Car,0.9,A-497,S,2,1
A-497 - Saída 9,Cruzamento da A-5058 com a A-5059,Car,4.2,,W,3,4
A-497 - Saída 10,A-497 - Saída 15,Car,5.6,A-497,SE,2,1
A-497 - Saída 10,Playa de La Bota,Car,1.7,,S,3,2
A-497 - Saída 15,Playa de Los Enebrales,Car,2.0,,SW,4,2
A-497 - Saída 15,Punta Umbría,Car,2.3,,SE,3,2
A-8009 - Saída 2,A-8009 - Saída 4,Car,1.5,A-8009,N,2,1
A-8009 - Saída 2,Cruzamento da A-8009 com a SE-20,Car,2.0,A-8009,S,1,3
A-8009 - Saída 4,A-8009 - Saída 5,Car,1.5,A-8009,N,2,1
A-8057 - Saída 0A,A-8057 - Saída 2,Car,1.3,A-8057,SW,2,1
A-8057 - Saída 0A,A-8058 - Saída 0,Car,0.8,A-8057,NE,1,3
A-8057 - Saída 2,Mairena del Aljarafe,Car,1.3,A-8057,SW,2,1
A-8058 - Saída 0,San Juan de Aznalfarache,Car,1.2,A-8058,S,2,1
A-8058 - Saída 0,SE-30 - Saída 15,Car,1.1,A-8058,NE,1,3
Achada do Gamo,Mina de São Domingos,Train,1.8,Antiga Linha São Domingos - Pomarão,N,3,5
Achada do Gamo,Montes Altos,Car,1.3,,E,1,3
Achada do Gamo,Santana de Cambas,Train,4.5,Antiga Linha São Domingos - Pomarão,S,2,6
Adega da Herdade da Comporta,Comporta,Car,0.9,,E,1,4
Aeródromo de Portimão,Aeroporto de Beja,Plane,116.4,,NE,5,5
Aeródromo de Portimão,Aeroporto de Faro,Plane,56.4,,SE,4,5
Aeródromo de Portimão,Aeroporto de Lisboa - Terminal 1,Plane,187.7,,NW,6,8
Aeródromo de Portimão,Alvor,Car,2.4,,S,1,3
Aeródromo de Portimão,Cruzamento da N125 com a M531-1,Car,1.9,,NE,3,1
Aeródromo de Portimão,Portimão - Avenida São Lourenço da Barrosa,Car,4.6,,SE,2,8
Aeroporto de Almería,Aeroporto de Madrid-Barajas - Terminal 2,Plane,415.5,,N,2,5
Aeroporto de Almería,Aeroporto de Málaga - Costa del Sol,Plane,190.3,,E,5,10
Aeroporto de Almería,Aeroporto de Sevilha,Plane,319.5,,NW,4,13
Aeroporto de Almería,Aeroporto Federico García Lorca Granada-Jaén,Plane,130.9,,NW,3,7
Aeroporto de Almería,AL-12 - Saída 7,Car,1.0,,NW,1,2
Aeroporto de Badajoz,Aeroporto de Beja,Plane,132.4,,SW,3,8
Aeroporto de Badajoz,Aeroporto de Córdoba,Plane,208.1,,SE,6,5
Aeroporto de Badajoz,Aeroporto de Faro,Plane,231.5,,SW,4,7
Aeroporto de Badajoz,Aeroporto de Lisboa - Terminal 1,Plane,201.1,,W,8,5
Aeroporto de Badajoz,Aeroporto de Madrid-Barajas - Terminal 3,Plane,329.1,,NE,7,3
Aeroporto de Badajoz,Aeroporto de Salamanca,Plane,254.9,,N,9,6
Aeroporto de Badajoz,Aeroporto de Sevilha,Plane,182.8,,SE,5,7
Aeroporto de Badajoz,Talavera la Real,Car,6.4,,SE,2,1
Aeroporto de Badajoz,Villafranco del Guadiana,Car,5.9,,SW,1,2
Aeroporto de Beja,Aeroporto de Córdoba,Plane,272.4,,E,6,2
Aeroporto de Beja,Aeroporto de Faro,Plane,115.7,,S,3,3
Aeroporto de Beja,Aeroporto de Jerez,Plane,222.3,,SE,7,5
